"Player","BB/100","Hands","VPIP","PFR","3Bet F","Fold to F CBet","WTSD %","WSD","CBet F","CBet T"
"JDubMonster","-16.18","21,001","50.38","23.13","0.44","65.03","21.84","43.50","66.03","56.42"
"bounty120","-0.55","20,952","20.81","11.49","9.57","64.13","26.84","59.70","37.14","51.90"
"Wyatt2022","-9.65","20,937","39.95","13.76","2.85","53.67","31.29","53.23","59.55","47.50"
"salvoital942","-16.91","20,915","36.30","4.58","3.49","63.36","30.99","51.21","82.66","86.53"
"BingoBilly014","-6.86","20,874","28.02","5.35","6.33","52.36","27.87","57.37","60.64","69.40"
"DoDoBiRdNyC","-2.15","20,854","35.00","4.47","6.49","40.75","36.56","52.79","67.99","78.01"
"Roadwork5425","2.24","20,660","28.84","15.72","5.59","56.82","30.98","53.18","42.05","72.31"
"BigDaddyCam98","-2.64","20,597","22.27","16.91","10.37","43.40","35.71","56.20","48.50","69.52"
"twoskindave","-4.23","20,354","39.07","2.43","3.23","55.71","32.00","57.85","58.09","50.00"
"ozzycard","-34.45","20,298","76.78","31.84","4.58","53.73","24.62","42.95","68.73","66.52"
"pg249","-39.60","20,165","29.12","22.44","7.72","34.40","35.62","37.72","73.49","39.66"
"stonehand678","-7.60","19,993","19.86","4.10","4.44","61.37","28.50","61.26","62.06","53.68"
"TheFieds","10.19","19,983","22.55","14.47","9.88","43.51","32.12","54.58","75.21","71.08"
"GRozski","-11.06","19,952","34.22","10.47","7.82","48.23","27.52","50.32","74.01","89.09"
"smokeyjo215","-4.29","19,927","18.51","9.04","1.30","55.47","28.25","60.88","46.45","56.28"
"delasean85400","3.29","19,908","29.15","19.66","2.35","38.69","32.16","53.48","65.94","34.46"
"gwvjrg1082","-6.65","19,879","19.33","1.27","4.76","50.28","34.35","58.28","88.42","78.95"
"enuss49","-9.80","19,763","31.16","0.52","2.50","54.96","31.68","62.59","54.05","84.62"
"BigSmitty215","-9.07","19,760","19.21","15.12","4.72","54.77","29.90","62.24","51.05","26.18"
"smkPA","6.54","19,489","20.34","14.27","2.99","60.45","28.18","59.90","53.92","43.88"
