"Player","Hands","BB/100","VPIP","CC 2Bet PF","PFR","3Bet F","Fold to 3Bet","Flop AF","Donk F","CBet F","Fold to F CBet","XR Flop","Bet T","Bet R","Call R Bet","WTSD %","WSD"
"INeedDiscipline","1,294","-33.36","25.57","16.36","8.84","9.09","66.67","2.63","1.43","60.38","48.48","8.00","36.75","31.13","31.91","25.71","43.96"
"INEVERBLUFF2.0","63,267","12.96","29.08","12.97","17.23","9.57","62.20","3.59","17.21","73.32","57.82","2.26","40.88","27.57","32.93","26.92","52.13"
"InfamousFitz","1,108","-78.87","48.90","38.35","7.88","3.85","52.54","1.29","43.62","78.72","47.30","1.03","34.05","36.17","27.16","32.97","44.69"
"infamousmonz215","1,260","-73.99","60.73","31.18","24.17","15.38","44.07","1.62","25.71","59.88","44.58","6.87","35.03","42.74","26.09","30.10","39.25"
"InfiniteEyes","1,351","-15.60","41.58","22.49","15.56","15.79","67.19","2.80","8.11","73.27","45.88","10.09","53.20","59.85","29.79","19.29","41.75"
"infiniti.1616","14,174","-5.76","33.57","21.88","18.81","10.16","55.49","1.94","4.24","67.50","45.41","5.98","32.27","31.94","30.67","29.01","49.55"
"infinity308","602","-35.64","49.83","26.15","6.37","8.33","54.55","0.63","6.33","42.11","46.38","8.97","16.46","27.83","44.00","36.51","54.95"
"InItoWinItToo","7,768","-9.60","32.97","26.78","8.26","13.39","57.64","1.73","30.37","47.81","59.61","1.12","42.60","40.61","24.12","28.22","49.22"
"inittowinit1970","798","-5.44","46.25","27.91","3.06","12.50","55.26","0.72","18.35","71.43","55.21","1.90","44.66","51.72","28.57","29.97","42.86"
"iniveyzleague","2,088","-19.66","39.78","25.95","15.70","20.00","70.49","0.80","1.75","42.18","39.36","4.69","29.16","36.58","29.47","30.83","50.00"
"InkChain","5,099","-6.22","23.59","15.47","2.70","0.00","80.62","2.08","19.25","87.50","68.22","0.65","29.55","32.54","31.39","26.63","56.13"
"Inkster2A","883","-46.09","31.99","15.38","22.35","6.67","56.82","2.62","50.00","56.41","72.97","0.00","50.34","56.70","19.51","25.50","39.47"
"InMyBag100","1,336","-12.32","40.36","17.02","4.19","14.29","72.88","3.11","22.58","45.16","71.25","16.67","51.04","62.86","18.60","24.59","45.19"
"INOPLAY","12,715","-47.30","56.16","35.52","22.72","5.62","53.31","1.99","15.13","67.07","46.56","2.80","40.58","39.36","28.02","33.78","39.93"
"insanelunacy","2,031","-54.32","44.88","25.26","7.46","22.22","60.00","1.89","27.03","63.08","50.00","10.50","35.65","37.50","43.86","35.19","46.04"
"insaneyup","2,228","-37.10","54.92","36.00","8.41","8.33","78.81","2.27","37.66","69.31","53.55","4.30","44.42","34.73","28.57","29.11","46.15"
"insertpokername","3,130","16.07","44.73","25.30","24.73","8.93","54.48","2.82","22.28","60.05","53.45","5.09","43.18","43.11","30.43","26.98","50.00"
"Inside_Bark","1,256","33.01","26.73","5.83","5.62","0.00","83.87","3.29","9.38","92.31","83.33","1.15","38.86","43.12","10.71","17.83","50.00"
"insidejob911was","504","-64.37","48.27","22.64","13.03","10.00","56.00","2.84","45.00","68.75","84.00","0.00","40.74","36.49","33.33","30.00","40.91"
"insmanbob123","4,246","-3.68","13.40","7.12","2.12","0.00","88.00","2.38","11.76","48.98","75.00","0.00","21.88","26.98","16.09","20.91","59.44"
"InspectorDeck","25,229","0.23","15.25","2.52","11.64","18.18","75.53","6.35","0.69","77.57","58.15","5.82","37.35","20.56","31.77","24.53","56.23"
"INSYD3R","3,430","15.98","29.88","9.70","23.18","12.12","50.31","2.09","7.95","55.94","53.03","4.95","39.48","31.96","32.17","24.40","55.92"
"IntegrityFarms","189,957","-4.78","36.99","31.71","17.45","2.74","62.79","1.27","6.19","57.26","46.07","1.76","38.57","31.31","37.74","30.69","53.07"
"IntheJug","1,379","-17.41","45.72","31.47","0.00","0.00","81.25","0.69","23.84","-","59.66","1.23","52.70","39.05","30.68","28.25","47.16"
"InTopTen","7,531","-5.35","35.95","19.03","3.68","2.29","75.31","2.15","20.37","66.23","54.13","3.51","34.44","29.54","34.93","29.59","52.58"
"intothenebula","4,118","31.37","29.21","12.30","18.04","6.67","50.55","1.37","4.35","67.97","46.30","4.86","27.03","40.50","38.81","29.96","49.37"
"intrepidtrav27","711","-29.83","28.67","17.95","13.98","0.00","71.05","3.57","7.89","56.52","53.85","0.00","33.67","35.00","28.57","27.53","46.94"
"inuyashamish","1,702","-28.67","42.32","28.57","3.86","2.50","53.19","1.60","25.53","93.94","49.29","1.41","50.00","49.32","28.87","32.35","44.44"
"invictusreese","8,160","-0.12","36.83","24.09","17.68","3.60","56.93","1.11","2.64","63.90","40.22","3.44","41.67","36.38","44.77","31.72","52.27"
"InYourDreaMM","818","-22.64","37.80","25.00","22.38","16.67","51.79","1.94","0.00","67.65","64.15","1.61","45.05","25.42","45.83","23.08","51.85"
"ioebaggs2019","688","-95.65","61.15","42.86","23.28","6.45","45.83","2.46","26.39","56.06","67.74","2.50","43.45","38.46","21.15","28.67","39.67"
"IoftheStorms","11,230","12.46","22.47","1.96","19.00","9.46","75.91","2.80","1.89","61.41","40.00","8.44","39.94","30.61","39.41","30.44","57.60"
"iokona71","2,366","-87.76","43.34","26.64","7.63","7.69","59.22","1.18","3.55","52.63","41.08","7.00","28.05","20.86","53.79","43.61","44.95"
"IOV2020","1,514","-11.51","29.51","19.19","16.28","35.71","70.00","1.47","3.19","49.02","38.81","5.49","20.94","23.29","30.61","34.52","52.38"
"iplaybig215","540","30.91","85.44","50.00","34.54","23.08","25.00","3.17","52.17","81.11","55.10","4.55","51.81","58.39","28.85","36.65","45.70"
"IPlayTheRiver","976","-14.19","36.35","18.09","1.37","9.09","64.00","0.72","7.59","100.00","60.00","2.30","17.59","23.31","40.54","36.96","60.96"
"iplaywithurcash","30,211","-8.68","33.56","30.79","11.66","5.03","60.34","1.35","1.32","74.58","46.86","0.77","37.46","26.97","27.50","26.64","50.25"
"ipmannnnn3","1,726","-29.10","61.98","54.01","4.56","5.45","63.75","1.02","26.17","57.45","47.11","3.64","32.98","33.26","43.30","37.78","53.98"
"ipott01","4,281","-29.98","36.39","27.59","15.46","10.81","42.86","1.87","30.37","64.35","53.54","2.21","41.62","32.82","35.15","34.09","48.37"
"IppoTheChemist","625","-71.94","68.18","44.83","30.68","5.00","50.00","1.97","23.81","74.11","42.86","3.13","64.25","68.85","32.76","28.19","38.46"
"IppyIppy","7,318","-36.01","35.95","24.29","7.62","9.62","60.25","1.06","11.82","47.95","50.45","2.88","35.05","35.22","39.25","33.24","50.37"
"ipwnnobody","933","-25.36","57.31","34.52","16.68","16.67","33.33","1.97","41.89","77.66","60.29","1.15","47.41","40.98","51.35","35.84","53.00"
"IRcardplayer","27,726","-22.89","28.88","22.31","12.96","14.39","52.21","3.73","39.18","80.87","36.36","9.77","57.25","34.26","29.26","27.15","44.22"
"IrelandsFinest","1,152","-84.36","72.28","61.62","17.78","9.68","43.94","1.20","4.26","40.63","50.29","6.42","54.48","49.16","26.32","26.96","35.91"
"irishbeardsman","627","-22.89","23.75","20.73","7.59","0.00","80.00","1.84","0.00","64.29","72.22","2.22","29.11","29.63","36.84","28.74","54.17"
"Irishbeer1701","5,582","-23.13","32.39","17.75","17.88","13.04","50.42","1.88","12.74","63.36","47.48","5.44","37.59","31.00","36.48","29.53","46.12"
"Irishfireman16","22,620","-97.83","60.95","41.67","21.69","13.70","37.95","1.65","19.46","56.34","41.98","6.43","43.93","43.03","31.03","33.30","38.52"
"irishken70","16,695","1.39","28.79","22.30","8.88","1.72","61.30","1.13","1.93","71.43","49.56","3.46","38.81","23.91","34.47","29.48","55.23"
"Irishlifepoker","556","-32.05","41.77","29.63","7.05","0.00","66.67","3.48","52.00","77.78","53.85","0.00","81.90","56.90","25.00","21.65","32.00"
"irishsadie","2,788","-15.27","53.21","41.71","1.18","1.85","77.06","1.06","18.59","58.82","50.00","0.32","41.75","36.59","24.19","31.06","46.89"
"IRKyou","24,767","-15.95","28.89","17.96","5.27","9.77","82.78","1.54","13.73","59.89","50.30","2.16","23.14","23.87","34.72","31.40","54.56"
"Iron_Dragon_198","1,330","-18.77","37.16","25.85","4.33","18.18","71.70","1.02","0.68","93.55","50.39","6.43","40.64","39.18","33.33","29.59","51.03"
"Iron_Mike$908","1,000","-9.98","45.82","26.17","11.88","0.00","71.67","0.92","2.01","66.67","57.25","1.87","23.47","25.18","38.10","33.52","49.18"
"ironchin73","2,932","-65.16","35.59","22.86","11.24","16.67","69.14","1.74","14.29","71.54","41.71","6.33","39.88","23.92","34.19","31.09","37.46"
"Ironcityirish","538","-4.02","36.69","17.91","13.31","0.00","67.86","1.24","9.30","46.67","34.38","2.38","46.07","42.86","31.25","28.41","50.00"
"IronCliffs","24,844","-4.74","27.84","19.53","5.41","4.98","69.48","2.27","26.21","72.60","59.94","3.87","36.78","39.79","22.10","27.90","49.95"
"ironcook1530","841","-5.05","28.87","13.64","9.01","18.18","80.39","4.00","14.89","70.37","67.57","7.89","22.68","25.86","28.57","28.57","53.33"
"ironman2832","1,138","-47.09","43.47","27.78","11.97","0.00","64.41","1.45","2.70","68.83","27.93","8.18","41.06","39.89","22.03","32.63","38.96"
"ironman35231","2,887","-36.17","60.25","48.12","12.83","6.06","40.12","1.25","10.70","83.89","41.14","1.60","46.05","26.90","31.60","31.98","43.21"
"Ironman7287","2,427","-161.40","61.74","51.69","2.76","1.04","39.13","2.05","51.44","83.78","53.87","0.49","54.49","55.00","43.28","32.25","36.58"
"ironman7372","6,854","-13.10","22.61","8.17","3.52","0.00","83.01","4.63","11.59","78.38","78.00","1.19","29.13","30.25","33.17","21.99","62.22"
"ironpoop","52,548","-44.72","37.78","25.48","1.24","8.70","66.93","1.44","31.08","89.27","59.35","0.74","38.90","41.79","48.03","37.72","48.69"
"irons2245","7,120","-3.87","26.68","20.09","13.71","6.67","70.26","2.44","3.02","80.00","47.09","10.54","34.54","37.74","38.89","25.45","47.86"
"Irowci","1,406","-42.01","41.23","28.86","5.00","4.00","70.91","1.90","13.84","79.55","63.27","3.38","37.99","28.42","38.89","33.28","57.51"
"irregularsean","571","-141.26","82.76","78.46","26.62","11.11","30.16","1.21","11.48","54.32","42.61","7.29","36.94","50.30","25.86","30.98","38.97"
"irritated1977","841","4.14","54.10","37.65","11.71","5.88","45.45","1.27","17.59","74.47","57.14","4.60","22.80","22.03","33.33","28.74","51.22"
"isaakremo80","3,551","-24.29","49.08","33.16","21.73","22.22","56.44","3.77","27.04","75.20","61.67","0.40","43.54","47.96","40.54","27.67","45.39"
"isabella5956","2,059","-8.52","47.66","38.87","18.13","27.78","56.33","1.31","0.37","70.09","37.25","8.77","44.71","38.01","38.30","29.49","46.52"
"Isaiahijoyce22","1,401","-51.45","27.26","19.57","15.74","40.00","47.37","1.18","8.20","27.73","41.82","8.33","34.55","28.07","23.53","39.31","53.69"
"isariu","609","-39.27","62.24","29.27","5.45","0.00","51.52","0.59","8.11","39.13","33.90","16.67","24.68","60.00","25.00","31.15","47.90"
"ISDGAFOS","596","-138.59","74.11","63.41","15.24","14.81","17.14","0.86","22.50","72.73","27.78","2.08","30.92","38.38","35.79","45.09","39.81"
"iSeeVeins33","6,568","-46.61","70.10","44.69","14.80","3.09","45.86","1.90","27.54","73.63","54.85","2.45","41.97","44.76","30.09","29.06","37.34"
"ISeeYouKid","1,544","64.65","33.98","10.05","25.40","0.00","63.48","2.33","0.00","62.29","53.73","4.17","38.28","39.52","32.35","27.46","58.49"
"isfsportlex","724","-169.85","63.12","58.67","8.24","15.38","28.89","0.65","15.38","46.43","25.74","0.97","20.07","32.68","26.67","41.30","34.21"
"iSgtMoose","1,795","-3.72","49.27","27.78","10.99","0.00","56.41","1.03","9.93","31.03","60.13","5.13","40.00","41.26","34.71","25.59","52.30"
"ish7449","1,091","-102.70","60.73","53.03","9.14","19.05","50.55","1.85","22.39","58.33","58.71","7.19","31.75","28.28","28.38","31.10","49.74"
"Ishootcraps","44,195","3.37","27.84","14.83","20.14","9.77","57.03","2.80","7.56","80.60","55.74","5.08","45.26","42.72","22.40","26.79","51.68"
"Ishtonix","4,383","-6.08","32.92","27.74","5.68","11.54","76.88","1.10","2.91","51.28","57.42","1.85","22.58","26.36","29.66","31.04","58.81"
"isisstsa11","32,237","-10.25","37.76","18.75","5.34","4.55","67.85","1.22","4.87","77.78","43.12","2.14","30.96","30.86","44.20","33.15","50.35"
"Island115","86,149","4.32","32.99","24.34","19.91","10.74","57.71","1.47","2.78","52.55","40.35","8.95","38.07","37.67","32.99","28.97","49.90"
"islandboy1967","859","-71.19","52.28","40.24","5.64","0.00","57.50","1.04","17.54","56.52","62.11","1.80","38.79","36.17","39.62","28.12","48.39"
"ismiityy","1,861","-19.25","42.76","36.31","7.45","8.82","59.55","1.45","28.76","84.72","62.30","0.00","44.65","43.85","32.17","33.06","46.62"
"iSquirt1","1,472","26.74","35.08","18.58","22.15","8.33","48.61","0.78","0.00","36.43","39.29","4.72","25.39","27.37","47.62","34.16","53.29"
"isthis4realmny?","753","-1.33","40.41","31.48","13.98","28.57","16.00","2.27","19.64","71.43","60.00","1.69","29.48","26.12","34.88","40.79","49.63"
"IsTwoPairGood","513","105.40","36.06","26.67","12.57","0.00","65.38","2.08","5.56","66.67","60.53","6.98","53.76","44.23","19.05","20.11","60.53"
"itzlarry","1,649","-19.32","31.91","16.18","0.99","13.33","85.29","0.30","6.49","50.00","46.38","2.55","9.76","13.62","25.23","33.59","66.98"
"IUnderscoreSuck","2,189","-21.90","24.55","22.66","9.26","25.00","62.20","1.32","0.00","58.82","59.23","3.85","16.67","20.10","35.29","30.78","58.38"
"IUP2323","10,445","-55.79","46.51","31.29","18.21","8.45","50.00","2.50","28.64","79.60","41.76","8.15","35.08","33.98","36.30","31.38","46.22"
"IUP6123","76,875","-0.87","21.16","13.79","10.36","7.07","77.97","2.50","9.09","68.83","46.88","7.00","35.38","26.17","18.76","25.13","54.28"
"IUPJEFF38","10,141","-20.71","31.43","17.15","10.43","12.79","72.34","1.27","5.29","54.11","45.29","6.13","26.13","35.34","40.37","34.24","50.14"
"Ivankaswallows","563","-29.48","80.58","72.00","18.71","11.11","21.21","0.77","6.74","58.06","38.16","0.00","37.31","52.36","28.57","31.93","34.87"
"ivanKGB24","1,243","-24.10","54.45","35.44","13.63","7.14","61.84","1.30","5.63","81.40","36.23","3.60","36.39","28.71","15.38","29.90","51.67"
"IvanPhilly","3,255","-25.28","52.40","38.37","16.76","12.12","50.99","2.20","15.41","56.68","59.85","7.61","44.25","37.55","28.37","27.65","46.55"
"ivey3333","1,752","-65.17","51.56","45.87","25.34","0.00","43.59","3.25","21.80","76.33","51.40","10.92","61.76","47.94","18.00","22.35","31.41"
"IvitsOP","5,527","-3.49","24.03","5.29","17.90","2.63","69.57","1.88","0.00","64.08","47.41","7.63","30.04","27.12","51.05","32.49","57.06"
"Iwasnetworking","990","-59.22","28.16","6.72","13.28","0.00","58.14","2.00","0.00","69.49","74.47","1.02","16.95","8.22","39.53","27.84","50.00"
"iwazaru52","36,847","-10.25","28.67","24.69","9.25","8.78","51.50","1.38","10.24","63.94","56.74","1.67","23.49","19.26","29.61","29.23","55.51"
"iwearae2016","8,171","-53.55","51.65","34.94","12.79","10.47","53.85","2.49","45.89","66.30","47.42","2.34","42.84","35.72","22.74","29.86","44.62"
"iwilsonasb","1,742","-75.91","52.76","36.94","7.16","6.67","57.14","2.11","27.72","63.64","49.36","3.07","51.94","51.14","38.78","30.95","39.66"
"iwin1025!","1,072","-119.00","63.06","50.91","28.37","8.33","52.31","1.22","2.65","70.09","32.88","12.98","31.54","42.31","54.79","43.38","43.64"
"iwinsports","1,092","-80.55","63.71","39.66","18.30","30.23","41.11","2.41","43.42","73.81","40.50","6.67","48.29","52.58","26.97","26.32","30.29"
"ixjzej","2,157","-31.32","58.29","46.30","13.00","11.48","33.98","1.88","35.86","71.24","49.53","4.23","36.32","36.45","38.30","37.15","43.96"
"IxlarsonxI","1,119","11.87","45.25","30.65","5.58","6.67","66.67","0.67","0.76","80.00","35.14","2.40","32.53","30.77","32.79","35.24","52.51"
"Iye78","1,523","1.04","56.79","46.39","14.99","20.00","55.75","2.06","27.14","60.87","56.00","0.00","38.48","36.54","43.01","27.47","47.27"
"izaill1","3,765","-42.24","49.10","35.65","21.45","14.29","66.17","0.75","1.59","33.23","50.70","5.96","35.70","40.07","35.18","29.86","46.00"
"izz215","6,988","-39.72","63.29","51.64","14.12","6.41","59.56","1.11","2.96","72.98","41.09","7.02","28.25","27.60","40.12","34.13","46.88"
"izzan0283","5,127","-1.34","45.24","39.90","23.58","8.51","51.26","0.97","0.83","62.06","30.81","5.07","35.16","39.71","45.60","35.96","41.61"
"izzy1961","2,099","-15.87","36.86","17.70","2.29","4.35","68.12","1.08","25.12","83.33","50.00","3.76","36.01","41.99","38.66","34.04","50.74"
"izzy234215","2,324","-10.99","46.75","28.37","20.62","6.25","47.17","1.78","11.76","50.00","58.91","5.33","39.67","34.47","27.46","27.87","44.29"
"izzybluff1n","2,207","-7.64","38.99","25.10","2.68","5.88","73.68","1.10","26.46","73.17","52.94","4.42","33.65","35.81","25.00","34.99","50.63"
"J E F F D R A C","976","-73.75","59.22","46.08","8.28","34.21","45.83","2.94","34.48","75.51","63.64","10.68","47.10","45.78","18.06","28.27","41.25"
"J Wilson 3rd","613","-26.98","23.76","6.38","1.65","0.00","66.67","1.14","7.69","100.00","77.78","0.00","14.81","11.27","11.76","27.04","58.49"
"J$tokes3","4,218","-35.34","42.98","25.50","4.99","1.47","64.50","1.23","21.28","60.82","53.27","3.86","49.09","49.25","27.07","24.86","46.84"
"J-Dogg $227q","9,712","-35.51","67.84","47.55","8.11","6.29","46.23","0.86","19.27","44.01","45.93","2.37","28.47","29.65","42.12","36.18","46.52"
"J-Nels16","2,488","-96.00","36.80","25.52","9.43","6.00","57.25","1.50","46.19","67.52","44.53","3.85","53.07","55.90","52.03","34.00","39.44"
"J-Rob840","28,347","-15.66","43.80","21.35","13.53","7.81","65.33","1.80","10.28","73.67","47.15","4.02","37.67","25.45","37.53","30.98","46.31"
"J.George3","718","-61.41","40.60","25.00","10.94","7.69","80.65","6.80","32.79","78.05","71.05","0.00","53.33","36.73","44.44","20.63","32.69"
"j0em@mm@","1,203","-37.96","44.29","22.83","10.84","4.55","57.89","2.35","25.93","68.18","61.90","2.02","46.40","42.45","28.13","22.26","41.67"
"J0hnny0n7hesp07","5,833","-31.18","71.90","57.14","18.39","2.60","39.75","1.30","15.64","35.95","69.99","0.89","26.87","25.51","33.58","30.38","52.18"
"j0hnnyrank","4,357","-22.15","31.22","22.97","13.58","14.29","66.03","1.85","3.51","60.16","66.81","4.72","33.56","38.11","27.97","24.66","52.77"
"j0hnnyveg@s","30,533","-20.38","39.37","27.13","8.26","7.25","63.14","1.39","16.11","71.27","44.68","3.59","35.38","27.38","39.99","32.72","47.86"
"J0HNR0LFE","3,391","-16.14","32.05","19.95","22.07","15.00","74.24","2.20","3.43","57.66","46.31","10.74","39.74","27.98","35.48","30.54","50.88"
"J0KER07!2","2,774","4.75","40.81","27.47","16.64","2.78","71.05","1.81","6.28","84.79","44.61","2.71","37.89","24.13","44.68","28.46","44.79"
"J0s3yWal3s","1,055","-51.28","31.70","16.25","21.99","0.00","43.90","1.53","17.07","53.28","39.39","1.10","35.87","29.82","28.26","28.99","48.62"
"j18103","2,114","7.30","42.42","25.31","16.05","7.50","73.11","1.49","0.92","79.25","55.06","5.91","39.74","52.10","28.74","22.28","55.43"
"j1parker","1,287","-93.91","73.94","52.38","18.59","7.02","22.78","1.44","38.65","57.45","40.16","7.14","56.02","75.52","28.57","33.17","36.83"
"j2432","3,911","-62.39","53.83","28.86","0.21","3.80","62.40","0.41","12.03","100.00","55.66","0.17","22.64","43.09","43.00","36.92","49.18"
"j2brich2","652","-92.75","58.54","36.21","14.75","5.26","55.88","1.60","15.94","73.08","19.05","14.29","28.37","40.58","30.88","36.77","48.92"
"j3r3m1ahf1","1,087","-59.93","46.65","27.50","8.13","8.00","55.81","1.56","25.00","66.67","55.00","3.30","33.73","36.88","27.27","29.70","42.86"
"j3tttMont","1,167","4.03","26.16","18.26","9.42","25.00","63.64","1.10","3.51","36.11","59.18","9.76","21.38","25.26","32.08","29.90","59.14"
"J6SR","3,900","-11.66","45.46","29.12","2.92","6.25","87.06","1.30","8.93","66.67","55.38","2.59","36.16","26.46","44.66","31.09","53.01"
"j9jaw","1,561","-46.93","42.75","42.07","9.50","9.09","44.66","1.46","32.69","78.31","51.79","2.38","36.95","47.92","50.85","34.90","41.67"
"J9ninja99","16,633","-12.25","28.80","3.14","23.09","16.16","73.55","4.69","12.98","80.33","45.37","14.95","39.50","33.58","31.10","28.91","50.00"
"j@ckashjr","796","-18.57","29.54","9.80","1.02","12.50","63.64","1.09","11.43","66.67","57.14","3.17","28.99","41.67","49.02","32.87","54.74"
"j_bonati80","35,106","5.93","22.71","13.62","16.08","13.70","48.34","2.00","3.27","72.97","49.56","2.05","26.30","19.58","38.22","30.42","53.72"
"j_steff0401","818","-68.59","55.15","43.01","11.22","0.00","33.33","0.32","2.52","34.04","61.06","0.77","23.22","49.66","23.61","27.83","51.56"
"JaAly1223","754","-32.89","47.19","30.36","11.78","10.00","51.85","1.09","5.97","67.44","53.33","6.60","18.50","17.19","29.63","30.16","53.51"
"jAAmes77","1,156","-37.67","39.82","32.80","18.40","0.00","49.30","1.11","2.10","71.00","34.71","6.98","32.11","34.18","46.43","33.41","46.38"
"Jabberwocky723","2,448","-50.37","27.52","12.65","13.74","12.50","61.62","4.19","31.13","88.30","51.16","11.21","55.42","52.53","33.33","30.81","41.83"
"jabby0889","3,506","-48.06","43.82","32.43","9.41","20.69","65.70","1.27","4.49","80.12","46.79","6.27","32.83","36.27","34.01","33.97","48.43"
"jabjbb","4,039","-16.11","29.73","15.28","8.12","8.11","80.00","1.55","9.52","52.70","55.65","3.81","26.13","30.24","31.11","32.09","53.54"
"Jaborwocky76","9,777","-18.98","28.57","16.61","14.72","8.00","61.65","1.47","9.94","45.68","48.05","3.49","36.16","35.45","32.38","26.05","45.53"
"Jaboydubya","511","-41.47","43.94","28.30","14.12","11.11","65.22","2.54","23.73","85.29","52.27","1.82","54.37","39.73","36.67","29.05","42.62"
"jac5497","6,474","-20.96","43.49","28.65","22.77","20.31","49.12","0.95","6.96","44.38","35.01","2.04","41.61","43.95","18.52","32.61","45.74"
"jacdel402","1,430","-23.20","31.41","24.34","16.49","9.09","55.70","1.68","7.89","66.12","42.59","3.85","38.53","30.16","23.53","26.59","47.71"
"Jace3404","3,003","-105.07","71.61","65.02","0.85","0.00","54.55","0.22","4.40","40.00","50.43","1.62","17.09","27.31","40.08","38.31","46.86"
"JacekRing10spo","3,704","1.04","42.92","29.72","20.53","15.00","48.00","1.35","11.30","53.51","47.88","6.34","27.17","37.35","30.12","33.98","50.38"
"jack wipe7","1,576","-40.16","44.77","26.29","8.84","0.00","70.24","0.89","0.00","62.07","35.54","6.86","49.44","60.81","44.07","27.34","44.57"
"Jack'nJingle","1,130","-15.31","41.94","22.12","6.26","6.25","76.92","1.64","12.93","69.77","61.18","0.00","42.50","47.83","33.93","29.57","38.97"
"Jack2020x","1,165","-20.52","43.57","21.17","22.01","0.00","66.07","2.85","13.83","83.61","34.62","6.67","56.34","52.07","38.10","25.58","46.36"
"jack232334","13,071","-1.26","33.91","20.00","20.42","4.76","66.67","2.06","1.81","71.00","50.93","4.04","31.91","24.75","33.97","28.08","51.17"
"jack313ryan","2,651","-31.25","45.09","32.56","16.28","11.76","58.25","0.86","14.81","33.55","43.43","1.28","44.56","50.28","35.37","31.98","45.78"
"jack9finger","570","87.91","39.14","11.59","24.86","11.11","37.50","1.91","11.76","67.53","30.77","14.29","50.00","55.22","28.57","38.16","45.57"
"Jack_Deth_888","1,501","16.15","39.73","27.67","11.72","8.33","66.67","1.43","4.58","69.32","53.51","2.67","54.02","50.00","44.29","26.52","46.50"
"jackallen149","1,533","-40.62","31.89","15.70","14.02","19.05","54.17","2.42","14.71","49.11","50.00","15.32","43.31","32.28","35.71","32.07","47.83"
"Jackb2006gt","4,515","12.32","32.94","18.73","12.87","4.84","78.87","8.68","9.09","85.76","75.16","3.78","47.20","41.25","24.63","21.84","48.84"
"jackboyd8787","843","-179.30","49.22","39.80","3.14","7.69","55.26","0.60","12.15","75.00","42.42","6.73","29.27","45.56","43.66","39.05","34.15"
"JackBurton2000","502","48.41","26.90","17.86","12.32","50.00","82.61","3.21","4.35","79.31","61.11","3.23","58.57","42.42","33.33","23.20","48.28"
"JackDannyC","3,942","-26.98","50.90","37.42","5.10","5.13","75.60","1.10","6.55","69.15","37.59","3.39","39.56","42.11","26.94","29.97","41.64"
"Jackfire6","1,263","-44.79","45.93","29.66","20.02","31.25","45.90","1.57","13.24","65.49","42.86","1.85","55.99","57.32","31.91","25.05","39.68"
"jackiehome","14,579","-19.59","53.61","37.27","6.85","3.99","67.22","1.44","15.22","79.44","49.85","3.11","40.64","38.68","37.14","30.69","54.23"
"JackieK77","8,167","-8.85","52.15","31.31","16.01","6.45","64.44","1.02","2.44","59.01","38.47","5.76","40.23","38.98","32.68","29.96","46.24"
"JackJP9","1,399","-37.53","37.19","28.40","5.03","0.00","80.00","2.55","25.98","87.50","54.74","2.20","39.06","28.74","51.79","32.60","38.41"
"jackkiefer1","24,053","-7.18","26.22","20.10","14.11","13.17","51.92","1.34","6.59","58.07","40.82","3.99","31.06","34.54","48.08","35.68","50.95"
"jackmcc100","915","-59.67","44.26","20.00","6.43","10.00","62.79","2.58","10.57","76.92","65.56","4.17","41.75","35.34","38.64","30.87","42.15"
"jackmeh0ff69","2,216","-21.58","37.51","28.06","19.87","29.17","56.69","2.30","11.45","72.81","52.55","3.20","40.16","39.46","32.98","31.16","39.56"
"Jackmoves717","4,260","-15.66","52.81","42.12","12.29","10.91","34.17","1.23","3.07","71.61","39.52","7.77","35.85","35.60","40.49","36.60","48.47"
"Jacko258172629","1,923","-51.47","46.70","31.58","16.73","16.67","50.78","2.46","35.86","81.46","49.65","5.31","31.89","32.38","28.95","32.85","42.57"
"JackpotGeo118","21,298","18.34","41.91","26.54","19.57","8.27","52.16","1.39","4.39","62.87","49.79","4.64","29.85","31.02","30.23","32.03","51.12"
"jackpothitta","5,797","17.10","38.30","19.68","20.38","3.57","45.27","1.76","21.62","62.91","42.76","6.61","49.25","57.94","41.44","32.77","47.68"
"jackrabbbit2","1,334","-24.10","51.07","43.36","7.47","0.00","66.18","1.20","5.70","73.81","50.27","3.29","59.46","37.38","40.00","31.80","37.50"
"jackrabbitslim2","1,538","-37.16","28.45","20.37","3.49","4.55","62.50","1.38","26.80","61.29","51.95","2.38","33.21","47.40","34.12","32.12","45.83"
"Jackson13133","927","-372.09","79.96","43.84","44.00","18.18","13.95","0.58","15.28","16.16","18.42","15.91","17.97","28.16","50.52","58.53","42.17"
"Jacksonglf05","65,624","-5.67","43.38","27.74","4.29","5.59","68.86","0.63","1.36","81.29","54.02","2.08","19.64","28.96","30.87","32.04","53.08"
"jacksonmfkurtz","4,249","-26.76","46.55","24.65","15.02","3.90","62.71","1.83","22.13","60.51","61.43","4.35","47.17","57.04","28.08","24.17","41.48"
"jacksparrowvb","937","-17.66","43.04","29.49","5.15","0.00","76.67","1.48","9.23","100.00","56.60","3.61","32.00","27.00","25.71","23.53","45.45"
"JackStackZZZ","1,104","-48.71","53.38","34.85","28.06","16.67","46.48","1.49","17.89","46.98","36.27","6.45","46.96","50.49","28.79","34.77","43.26"
"JacksUp825","6,333","-28.00","37.68","28.08","4.49","2.35","57.45","0.76","13.78","52.10","53.40","0.99","30.19","34.51","36.24","35.04","54.78"
