"Player","Hands","BB/100","VPIP","CC 2Bet PF","PFR","3Bet F","Fold to 3Bet","Flop AF","Donk F","CBet F","Fold to F CBet","XR Flop","Bet T","Bet R","Call R Bet","WTSD %","WSD"
"1395918158","16,898","-24.12","39.40","24.77","20.50","8.54","62.97","1.67","13.58","49.67","52.57","4.36","36.07","36.26","34.66","30.38","51.76"
"13enjamin","1,315","-13.93","21.50","20.36","8.14","0.00","92.19","1.42","2.90","87.50","30.65","10.00","38.21","29.58","17.39","25.69","39.29"
"13JPC","15,573","2.29","21.31","9.37","11.83","4.55","73.84","2.77","10.53","75.11","62.72","2.05","30.76","23.43","27.13","27.55","57.08"
"13kingkorn","9,573","18.59","48.95","33.58","6.76","6.01","57.43","1.33","9.88","69.08","49.38","2.01","32.21","32.21","28.19","30.41","49.10"
"13PetiteSirah","3,263","-91.90","60.30","56.36","10.55","6.45","31.58","1.88","33.88","54.04","39.10","7.76","64.56","53.32","29.90","27.68","36.36"
"13x13420","2,634","-11.19","49.73","34.87","1.01","16.13","62.92","0.70","1.38","63.64","69.60","3.96","26.55","31.89","33.54","31.80","54.61"
"1412bryan","5,975","10.01","40.88","15.57","12.23","4.27","56.82","3.59","22.51","80.04","72.29","0.43","53.68","35.97","30.37","23.02","45.79"
"141TheNuts","27,844","-9.37","28.03","15.40","9.01","12.73","70.98","2.62","24.52","60.65","61.29","3.24","31.57","40.38","24.82","26.59","52.70"
"161joe161","5,528","-4.60","30.28","20.38","13.26","11.32","45.78","1.37","2.89","48.73","45.71","5.63","30.97","20.12","52.61","35.45","54.09"
"16Redbread","6,843","-16.79","41.03","18.77","0.87","2.75","72.77","2.46","47.40","70.00","70.37","2.08","47.07","47.32","27.64","27.08","47.15"
"16SRB16","659","-28.78","44.74","19.63","21.19","0.00","76.67","1.93","13.89","75.51","36.54","2.38","44.66","42.62","58.82","26.51","43.86"
"1717gwb9","1,558","-49.82","48.98","21.26","16.72","9.68","60.71","2.23","24.64","69.72","48.08","0.87","40.10","25.52","28.21","32.05","42.86"
"1745molest","7,823","-2.79","41.82","23.20","18.37","5.88","57.33","1.89","5.48","61.42","41.98","7.02","38.02","26.44","37.21","29.97","53.63"
"17bbrown","869","-25.38","52.97","25.00","18.05","16.67","51.92","0.97","6.30","60.00","36.56","0.00","47.86","52.52","27.27","28.80","42.73"
"17danielju","1,271","-117.32","45.42","33.13","15.35","15.38","65.59","2.20","40.91","52.75","43.69","5.05","44.53","44.13","21.88","28.77","44.22"
"17FOZZYBEAR","3,134","-17.27","60.17","45.68","12.21","5.11","45.80","2.14","32.77","78.11","53.42","7.65","52.48","40.62","36.88","29.60","45.90"
"180Spot180","2,179","-8.82","56.94","38.56","14.18","1.28","33.33","1.41","16.74","74.59","63.81","2.14","38.45","42.15","28.77","28.94","51.58"
"1843bub","8,573","-28.54","44.17","30.53","19.85","7.31","56.62","4.09","55.18","86.24","51.71","5.85","59.37","52.69","27.57","24.45","38.73"
"18mingle","1,838","-54.77","40.35","11.52","28.01","15.79","63.96","1.65","2.10","49.15","44.95","10.14","36.78","32.47","45.36","38.14","49.31"
"18SteelWheels","1,624","-96.61","56.74","30.15","17.28","7.14","46.25","1.37","19.25","49.07","56.00","2.82","44.93","51.74","25.19","26.98","40.56"
"18woodan","1,083","-22.99","42.65","28.46","22.69","6.25","65.52","2.14","2.53","69.64","40.74","12.00","44.50","33.02","42.86","31.45","52.83"
"18zookc","2,979","-36.86","58.72","30.10","7.75","5.62","50.41","1.43","26.59","54.74","64.22","2.14","30.19","34.63","34.64","30.54","49.91"
"19 GO GETTA 19","1,463","-33.21","44.67","26.62","18.24","4.55","56.67","1.91","18.75","55.56","57.14","3.73","30.63","22.35","41.67","32.00","47.40"
"1976619","7,106","-28.57","35.70","26.38","18.06","10.53","45.96","1.19","4.54","65.90","43.41","2.73","29.69","33.45","50.32","35.62","50.26"
"1981camero","3,168","6.14","24.98","15.67","12.96","3.85","68.63","3.07","7.76","59.73","75.23","2.72","38.71","43.37","17.28","23.63","52.48"
"1997PokerStar","7,194","0.76","30.45","15.61","21.62","3.17","52.97","1.45","21.48","45.14","45.45","1.29","46.15","53.90","39.46","27.52","44.60"
"19AT94","2,793","25.42","44.61","32.26","26.52","5.36","49.24","2.72","31.30","60.24","64.89","0.50","37.95","36.56","34.32","30.43","51.71"
