Player,Hands,BB/100,VPIP,PFR,3Bet F,Fold to 3Bet,Flop AF,Donk F,CBet F,Fold to F CBet,XR Flop,Bet T,Bet R,Call R Bet,WTSD %,WSD
player18121,"58,208",4.6,21.66,17.46,6.33,60.86,2.54,5.32,62.11,53.74,4.12,47.8,39.59,36.4,27.77,54.69
player18122,"8,649",-18.31,30.6,16.9,21.43,66.54,2.47,7.19,78.8,45.42,10.47,34.17,40.36,22.82,26.76,48.39
player18123,"1,251",-53,58.69,24.07,12.5,37.31,2.94,32.65,70.06,52.33,11.5,50.16,46.12,33.33,27.41,41.33
player18124,742,-10.76,62.81,8.13,2.63,52,1.81,47.66,65.38,53.52,3.26,31.62,39.33,50,40.22,45.25
player18125,565,-25.91,53.5,6.51,0,28.57,0.7,25.53,85.71,34,1.41,48.59,42.11,45.33,38.79,46.67
player18126,600,-91.98,49.49,6.83,28.57,60.61,0.51,3.85,63.64,35.56,2.7,21.56,23.48,44.68,45.42,53.23
player18127,"2,055",-24.98,30.38,8.55,7.69,54.1,1.77,17.86,66.67,52.69,2.86,42.11,47.98,40.26,26.75,45.83
player18128,"2,842",-32.52,43.1,21.45,0,35.71,2.5,13.22,74.85,43.5,20.28,56.39,54.15,32.47,27.99,44.94
player18129,"13,614",-18.18,30.05,20.01,3.75,54.9,1.4,1.52,56.4,44.79,3.85,35.47,31.1,32.18,31.45,45.3
player18130,"10,097",-47.86,53.64,29.8,13.1,48.03,2.04,7.22,61.97,37.04,14.71,36.94,40.69,33.33,32.37,44.34
player18131,811,-81.57,43.99,4.55,0,94.74,3.24,16.67,95.24,73.44,1.61,48.19,34.48,55.32,29.13,39.42
player18132,"26,817",-2.46,33.9,17.52,6.38,67.94,2.16,1.99,79.25,47.86,5.49,38.29,28.39,36.99,28.54,53.23
player18133,"2,643",-31.52,28.02,13.18,10.71,56.82,1.35,8,62.57,49.04,1.1,27.32,25.27,36.23,33.74,51.09
player18134,"3,743",-0.69,45.16,13.2,3.92,72.57,1.99,6.01,45.99,48.43,9.06,33.47,41.49,29.12,26.37,52.63
player18135,716,-47.63,55.84,14.69,0,48.57,0.98,4.48,46.77,43.06,9.24,28.92,30.53,20.97,26.05,47.32
player18136,656,-30.66,71.43,6.98,4.35,41.67,0.79,5.32,68,42.5,2.46,35.29,57.87,38.1,30.98,36.71
player18137,"3,009",-18.98,37.06,10.46,10,76.77,1.24,3.7,53.89,51.74,6.15,33.33,30.46,21.8,29.29,51.92
player18138,"106,583",-1.06,22.3,18.19,10.15,76.19,1.71,2.1,48.13,36.71,12.33,33.11,36.6,42.09,34.83,53.57
player18139,876,-67.78,39.28,10.97,18.75,73.68,3.05,30.85,81.58,70.31,1.52,41.96,50.55,48.15,25.77,41.33
player18140,"1,993",2.66,36.45,1.28,7.14,89.13,1.6,2.41,100,57.25,4,39.54,32.76,26.09,24.63,57.07
player18141,"4,050",-3.06,44.71,6.87,7.84,57.29,3.37,34.19,65.43,74.63,3.77,45.28,48.75,27.36,23.87,46.96
player18142,639,-112.28,75.24,14.15,0,45.61,1.22,23.62,62.5,44.71,7.61,21.49,36.26,42.37,36.24,45.68
player18143,"1,580",-54.32,57.27,28.09,5.26,40.4,3.05,25.7,65.92,34.15,19.86,61.64,66.67,23.94,30.39,42.31
player18144,559,-33.95,54.07,13.25,5.88,32.14,0.84,14,46.51,46.67,8.54,33.33,29.25,21.28,30.91,43.88
player18145,"13,075",-1.04,20.43,7.88,5.52,71.7,2.95,40.89,77.19,61,2.68,68.46,49.95,30.28,25.58,50.93
player18146,985,2.64,33.47,5.38,10,60,2.1,35.19,89.66,58.82,0,43.5,45.87,20.93,23.45,48.35
player18147,"7,591",-8.69,43.74,14.08,6.62,51.97,2.87,33.06,61.78,71.16,1.59,44.35,43.28,23.47,27.03,52.36
player18148,"3,324",-2.95,30.34,23.44,24.32,67.98,7.08,27.84,41.75,69.57,13.43,44.59,53.7,10.64,20.54,44.66
player18149,589,21.9,84.17,15.54,10.26,42.86,2.41,38.71,73.85,75,2.47,52.72,55.43,20,31.13,55
player18150,626,-49.97,45.2,2.11,14.29,50,1.08,22.5,57.14,46.34,0,31.45,41.23,22.5,30.06,47.37
player18151,583,-90.09,57.72,12.87,14.29,36.36,2.05,41.27,68.29,47.06,4.08,38.22,36.89,35.09,34.12,48.28
player18152,"6,357",8,20.18,14.39,2.63,61.27,1.89,3.8,70.12,51.18,1.89,53.17,38.17,30.14,26.66,50.14
player18153,"4,724",-52.65,56.26,7.8,5.16,53.37,2.15,44.89,86.47,58.97,1.91,54.1,60.15,30.45,29.76,43.25
player18154,"1,799",-60.32,57.56,19.37,20,36.36,1.98,35.48,57.34,57.78,8.17,48.81,52.86,35.82,30.44,41.07
player18155,"64,355",-36.15,43.89,22.73,4.8,44.98,1.23,22.61,48.25,41.9,0.87,32.84,42.72,35.72,32,42.14
player18156,948,-68.52,42.27,7.46,23.08,71.93,1.51,19.63,55.88,60.53,0,28.13,32.54,38.18,34.39,44.62
player18157,673,-41.74,28.48,9.39,0,72.73,2.1,0,72,58.97,9.09,29.07,30.77,46.15,30.86,48
player18158,"3,360",12.58,37.33,18.33,4.62,55.75,2.32,25.77,48.46,56.82,6.69,33.33,37.33,33.92,28.8,57.37
player18159,"16,137",9.23,38.49,23.32,7.04,58.68,1.13,1.38,55.71,37.94,5.09,27.62,30.6,46.43,36.95,52.73
player18160,"2,140",-82.23,58.85,11.04,8.86,43.88,2.06,14.78,69.18,52.65,8.78,52.54,58.04,34.19,29.15,42.78
player18161,"8,081",-62.9,53.42,19.99,13.37,31.43,1.33,17.63,62.72,38.68,5.94,36.74,40.13,47.4,37.83,42.32
player18162,"1,599",-3.65,24.62,16.11,20,86.52,1.58,0,54.29,44.07,11.54,27.81,38.39,48.65,31.27,48.35
player18163,"1,588",-36.77,35.98,7.43,0,74.55,1.3,7.96,62.5,63.27,1.99,23.08,21.54,36.25,34,53.92
player18164,"18,014",22.48,31.33,25.04,6.98,59.23,2.51,0.19,57.03,52.32,4.09,35.12,36.72,34.58,25.97,56.99
player18165,"1,148",-112.2,58.99,17.12,35.71,46.84,2.24,25.93,62.64,60.14,5.04,39.78,23.56,16.39,28.26,44.38
player18166,"2,337",-4.82,47.32,28.92,13.33,50.81,1.69,15.89,41.52,38.01,8.17,42.6,57.19,35.96,30.63,45.14
player18167,"19,769",-12.06,29.37,12.36,6.43,78.5,2.67,11.39,60.02,51.99,4.92,35.51,33.92,25.05,25.87,53.83
player18168,830,-86.51,76.35,2.96,0,23.33,1.31,20.51,46.15,61.17,0,35.73,43.15,38.93,34.96,45.68
player18169,983,-79.14,66.74,8.54,10,63.64,0.54,14.93,100,43.93,5.07,24.43,41.18,27.88,37.81,45.89
player18170,"425,170",6.68,24,19.1,16.03,69.69,3.05,1.57,56.52,46.15,14.79,33.47,29.36,44.23,33.22,55.32
player18171,"350,462",-2.96,20.13,15.84,24.25,73.5,2.39,2.68,54.78,51.19,3.91,32.59,37.21,44.09,33.61,54.34
player18172,"127,750",-2.33,34.14,1.77,3.08,73.56,0.77,2.14,84.61,48.33,3.41,26.99,31.62,32.22,27.78,49.68
player18173,"94,678",-1.1,24,7.64,4.99,75.02,1.56,18.88,50.51,62.79,0.75,15.84,13.04,31.53,29.15,58.59
player18174,835,-11.08,39.51,27.73,0,48.94,0.81,0,43.52,35.71,3.9,33.33,33.67,35.29,32.97,54.35
player18175,"1,815",22.57,40.49,13.99,27.27,55.84,4.43,23.36,90.4,50,11.02,59.49,45.45,46.67,25.86,48.4
player18176,"2,584",17.63,44.26,24.97,3.85,58.28,2.53,30.77,70.49,46.38,4.7,42.79,48.86,34.15,26.85,50.19
player18177,"1,889",-65.11,41.49,11.42,7.69,40.54,1.73,31.51,32.35,57.27,6.8,42.09,55.51,35.92,30.94,39.38
player18178,"1,239",-22.19,65.69,4.93,0,62.5,0.51,7.61,63.64,53.13,0.5,18.05,28.52,38.06,34.42,57.75
player18179,638,-93.72,52.65,20.13,33.33,61.36,2.12,20.73,73.77,27.66,7.69,40.88,42.5,27.27,26.35,46.58
player18180,"1,080",-17.05,27.66,8.76,33.33,65.45,1.12,2.17,56.76,53.75,1.35,24.83,20.41,32.14,34.6,45.05
player18181,"3,984",-25.35,21.5,15.56,7.69,60.25,1.65,0.81,52.06,54.03,2.55,29.83,22.85,38.98,32.71,59.35
player18182,"8,069",-50.34,60.69,3.64,8.57,46.4,0.91,19.67,85.71,50.67,0.7,36,34.23,40.48,33.2,41.78
player18183,946,15.01,39.93,16.41,0,67.31,1.1,5.66,57.33,42.35,4.3,34.46,25,35,29.33,53
player18184,"10,096",-26.3,34.59,2.12,11.73,71.95,2.27,31.51,70.34,66.23,7.16,49.62,58.39,23.78,26.54,48.1
player18185,"1,464",-98.4,67.6,33.17,6.25,40.87,2.08,27.8,68,49.69,2.87,48.7,50,36.22,30.15,45.06
player18186,"2,700",6.33,47.65,21.04,2.63,53.29,1.74,16.43,56.93,46.67,3.96,30.91,34.23,38.1,36.68,55.29
player18187,"1,819",-104.65,43.69,21.95,3.23,37.25,2.32,28.38,48.4,63.72,2.21,42.82,47.14,29.7,32.77,41.11
player18188,953,-56.54,36.73,10.23,3.85,31.25,1.96,40.91,76.67,57.63,1.67,43.16,30.95,41.18,32.59,39.69
player18189,562,-156.41,85.33,12.54,9.68,18.18,1.73,31.58,78.57,52.73,0,37.37,35.94,28.74,37.5,38.25
player18190,"5,375",-13.81,51.52,0.36,0,65.88,0.37,21.05,22.22,44.09,1.5,41.85,48.06,27.16,31.91,47.12
player18191,"2,206",10.09,44.95,14.71,5.71,58.82,1.91,9.15,74.05,50.62,4.82,47.53,37.29,35.66,28.62,49.81
player18192,"1,229",-50.9,59.77,6.54,0,47.3,0.75,12.38,67.39,46.88,4.76,28.78,60.13,28.92,29.53,40.47
player18193,528,-80.82,49.33,8.09,0,36,0.82,13.04,71.43,38.46,1.47,25,25.62,40.38,42.76,53.23
player18194,599,-115.31,87.29,21.69,11.11,34.92,1.68,49.62,67.24,29.76,3.39,65.34,71.68,35.29,34.69,42.59
player18195,"7,479",-27.75,44.15,9.2,12.22,66.51,1.78,14.64,75.45,44.63,5.61,45.12,40.11,36.09,28.53,46.6
player18196,"3,578",-18.13,32.12,5.33,11.86,64.75,2.14,36.04,70.1,54.43,2.13,40.3,45.56,34.5,30.37,52.36
