,player,hands,bb_100,vpip,cc_2bet_pf,pfr,3bet_f,fold_to_3bet,flop_af,donk_f,cbet_f,fold_to_f_cbet,xr_flop,bet_t,bet_r,call_r_bet,wtsd,wsd,cluster,cluster_name
10041,mdmarra,1810.0,29.64,38.81,15.19,23.71,25.0,45.95,4.8,44.06,72.54,59.55,1.18,52.79,46.1,36.36,26.48,40.54,5,The Moderate Aggressor
10042,mdoms21,1243.0,12.1,33.96,18.45,18.7,5.0,56.41,1.86,9.72,62.79,48.28,5.75,38.33,36.81,41.1,35.0,46.94,0,The Loose Passive Fish
10044,mdpoker87,1360.0,-63.25,55.66,34.41,37.9,0.0,32.65,1.72,6.9,53.33,39.67,6.9,42.28,30.81,35.8,35.66,41.4,1,The Solid Regs
10045,MDPZPA,3857.0,-21.54,42.28,29.39,12.63,14.29,59.9,1.37,6.88,65.3,44.5,1.98,42.41,48.5,45.4,25.14,44.74,2,The Hyper-aggro Maniacs
10046,MDS7071000306,6307.0,0.47,34.02,19.7,15.36,4.08,58.03,3.87,31.4,75.78,53.85,4.93,40.86,32.25,35.98,27.55,51.88,5,The Moderate Aggressor
10048,MDT2687,25824.0,-16.01,24.25,8.08,18.9,8.81,62.34,1.68,3.33,50.83,43.42,8.99,35.68,34.26,39.47,32.89,48.8,2,The Hyper-aggro Maniacs
10049,Mdud641,1337.0,-79.47,54.91,42.07,3.53,10.71,46.03,0.61,12.22,40.0,37.41,3.31,19.86,32.64,30.17,41.73,40.91,1,The Solid Regs
10051,mdurich,1053967.0,4.73,22.16,4.66,16.82,7.49,73.74,2.21,0.25,54.0,52.7,4.43,24.21,18.21,27.24,29.25,60.72,0,The Loose Passive Fish
10054,me_take_chippy,2040.0,-30.77,45.97,22.71,13.82,0.0,66.67,2.72,23.35,83.33,61.19,2.92,45.63,26.16,32.56,27.64,49.81,4,The Loose Aggro Fish
10055,MeAceJr,1626.0,24.32,37.98,21.86,11.1,9.68,56.96,1.48,19.01,63.0,54.02,0.79,33.74,32.11,35.19,34.38,52.29,0,The Loose Passive Fish
10058,Meanguns68,6111.0,-42.74,72.64,50.22,33.93,7.48,46.77,1.93,12.83,77.75,40.02,8.13,37.03,46.71,25.53,31.8,43.03,1,The Solid Regs
10059,MeanMugginYou,1466.0,-1.29,57.88,40.56,21.72,25.0,47.93,1.85,20.94,59.86,46.98,6.52,45.55,51.28,26.6,28.35,36.45,5,The Moderate Aggressor
10061,meatandbeans2,89735.0,2.3,19.7,8.34,12.92,7.62,76.38,1.35,6.97,43.17,50.41,3.37,30.18,30.69,29.65,29.51,56.77,0,The Loose Passive Fish
10063,MeatballMaker,3029.0,3.85,34.91,21.07,24.1,2.7,55.81,2.13,6.63,75.93,40.74,5.23,38.86,51.89,35.11,26.94,50.0,5,The Moderate Aggressor
10065,meatjello,8744.0,-12.86,42.0,27.01,15.44,7.89,64.41,1.15,7.71,45.19,44.71,3.96,27.28,25.23,35.32,34.62,57.59,2,The Hyper-aggro Maniacs
10067,Meazy81,5185.0,-66.59,67.68,51.8,4.1,1.81,56.38,0.73,24.83,52.03,43.77,0.99,46.78,45.08,36.08,38.88,43.28,1,The Solid Regs
10068,meblank1983,4355.0,-81.61,48.82,30.92,21.78,11.11,58.36,2.37,29.32,70.12,33.07,7.19,56.18,62.14,15.97,25.0,36.76,6,The Big-Betting Fish
10070,meck1558,9688.0,2.26,32.08,18.06,8.03,13.04,75.25,4.61,31.75,77.78,52.82,14.15,34.83,24.03,36.95,28.31,49.1,5,The Moderate Aggressor
10071,MED1638,1117.0,-6.86,39.93,19.33,21.01,25.0,60.53,2.18,8.75,84.8,52.17,0.96,35.57,36.51,31.67,27.6,48.25,5,The Moderate Aggressor
10072,MedAl512,1507.0,-46.88,69.85,59.29,1.36,15.79,54.55,0.21,1.17,0.0,55.08,7.09,3.72,5.32,30.41,38.61,58.74,2,The Hyper-aggro Maniacs
10073,medic20388,40975.0,-3.77,16.02,11.73,10.6,8.04,70.05,1.15,0.34,62.92,44.9,2.64,25.15,18.75,39.32,33.91,57.35,0,The Loose Passive Fish
10075,medinacrmiii,26845.0,-19.44,43.36,31.14,14.08,5.72,66.89,1.74,13.79,66.75,44.98,4.29,41.87,29.28,34.55,30.89,49.5,2,The Hyper-aggro Maniacs
10076,Mediocrity75,23832.0,2.64,35.67,16.97,13.42,9.14,64.25,1.99,2.62,73.62,33.42,12.46,41.86,36.25,44.58,26.75,49.45,0,The Loose Passive Fish
10077,Meehan202082,1014.0,10.51,26.04,18.25,5.58,0.0,74.0,0.76,1.25,51.85,25.71,1.64,24.29,38.95,48.72,35.74,66.29,0,The Loose Passive Fish
10079,meekayhonays,1252.0,-26.57,40.34,25.93,9.49,0.0,65.91,1.2,19.61,44.9,46.08,5.56,39.16,43.72,25.0,33.12,50.0,2,The Hyper-aggro Maniacs
10080,Meekerrob233,3692.0,-43.39,74.01,58.68,6.01,1.88,51.15,1.6,31.91,82.03,54.88,1.6,37.62,39.33,26.39,28.64,45.71,4,The Loose Aggro Fish
10081,meeko46,3402.0,-19.91,63.72,46.38,23.45,2.86,64.78,2.68,22.06,64.53,60.39,2.42,48.13,42.07,17.22,24.54,43.82,4,The Loose Aggro Fish
10082,MeepFan69,1378.0,-56.13,59.66,41.35,9.0,0.0,55.74,1.43,9.35,74.14,62.79,0.0,38.14,44.57,29.41,27.52,44.2,1,The Solid Regs
10083,meeshka242,1204.0,-84.16,80.54,64.38,12.23,5.26,50.57,1.79,20.62,90.41,32.05,8.93,63.09,65.47,38.71,29.52,36.19,6,The Big-Betting Fish
10085,meetme@theriver,5571.0,6.22,39.38,23.36,21.28,3.77,72.13,2.23,3.16,75.27,40.99,7.61,44.07,39.25,41.44,28.69,52.27,0,The Loose Passive Fish
10086,meg5096,62546.0,2.1,18.23,3.99,16.46,10.37,75.46,5.16,3.54,60.9,55.19,5.57,35.53,28.14,31.1,26.38,57.75,0,The Loose Passive Fish
10087,megafanonline,1231.0,-5.18,47.4,42.11,6.9,11.11,70.97,1.28,21.43,54.76,46.38,1.65,28.91,41.11,30.16,28.8,43.4,2,The Hyper-aggro Maniacs
10088,MeGaHitters,1939.0,-2.26,33.05,17.22,22.35,0.0,51.9,2.05,3.26,68.0,53.16,0.65,44.75,58.91,37.35,27.4,48.28,5,The Moderate Aggressor
10089,megaman86422,3173.0,-49.92,39.34,22.25,11.69,10.0,67.02,1.43,11.95,62.21,54.51,4.6,40.21,59.47,46.85,27.89,42.72,1,The Solid Regs
10091,megatronzzz,3450.0,-30.04,36.46,13.88,15.61,8.7,67.65,3.76,4.27,72.97,51.1,16.32,43.13,44.77,26.97,22.29,43.78,2,The Hyper-aggro Maniacs
10092,megener,1910.0,-45.69,43.64,30.99,7.16,3.23,62.69,1.14,21.79,57.81,57.33,0.57,44.12,54.69,34.38,30.7,43.97,4,The Loose Aggro Fish
10095,megtaylor1,1387.0,-82.94,46.01,28.46,2.92,0.0,63.04,1.11,23.47,40.0,58.62,1.5,29.82,34.4,32.65,35.49,44.92,1,The Solid Regs
10096,mehtavg2000,8782.0,-0.97,35.85,24.04,20.51,15.48,76.24,2.32,7.29,65.03,44.65,3.26,35.45,27.53,43.95,30.39,49.22,0,The Loose Passive Fish
10097,meinamaze,3609.0,-9.09,48.28,37.23,0.9,9.29,71.32,2.91,40.87,52.63,69.68,1.36,66.62,66.13,43.21,23.67,44.21,4,The Loose Aggro Fish
10098,Meir235,1150.0,-34.85,79.8,57.58,20.21,2.27,52.86,1.77,41.01,69.44,47.37,3.88,52.1,79.43,33.33,28.2,39.35,4,The Loose Aggro Fish
10099,meistermanes,5222.0,-148.95,74.0,58.1,19.32,13.79,34.85,3.34,44.12,79.61,62.96,1.46,67.01,66.05,27.0,23.71,35.57,6,The Big-Betting Fish
10100,mekar1285,2964.0,-11.38,34.94,32.77,16.31,8.7,61.86,1.39,3.98,80.93,51.97,1.81,38.37,36.02,35.59,26.15,51.75,5,The Moderate Aggressor
10101,mekleiber34,8771.0,-30.8,29.81,20.7,17.04,12.9,53.41,1.55,6.68,57.05,53.12,2.88,43.52,43.49,33.1,27.59,44.75,2,The Hyper-aggro Maniacs
10102,mekus0,176631.0,-8.11,22.75,17.33,14.83,13.25,63.73,2.01,16.24,57.63,48.64,4.6,28.91,20.02,29.09,30.78,55.01,0,The Loose Passive Fish
10104,mellinac2,18325.0,2.07,29.77,15.79,17.42,8.33,63.77,1.87,13.76,37.3,59.1,7.12,44.05,46.2,27.65,24.85,52.04,0,The Loose Passive Fish
10105,melman1945,47256.0,-2.85,37.79,20.53,5.7,9.77,71.92,1.6,8.13,78.86,51.43,5.53,34.19,34.77,39.98,33.86,48.75,5,The Moderate Aggressor
10106,melo22170,3515.0,-44.36,43.85,26.34,4.25,8.33,59.17,1.03,12.97,76.92,52.25,4.41,33.9,37.94,29.76,34.12,50.46,2,The Hyper-aggro Maniacs
10108,melski718,1349.0,-66.65,47.35,39.66,15.94,15.15,26.23,1.14,8.27,74.51,47.86,0.0,39.58,36.67,24.71,26.8,43.41,1,The Solid Regs
10109,meltedspeed,1336.0,1.1,54.64,40.0,9.04,0.0,58.7,2.32,26.92,76.32,57.14,6.35,45.66,46.67,37.17,33.46,52.81,5,The Moderate Aggressor
10111,Melyn427,26658.0,-40.33,35.42,34.94,5.72,1.75,46.13,1.01,13.3,94.74,42.8,2.56,29.87,19.93,48.66,38.05,46.14,2,The Hyper-aggro Maniacs
10113,MemeMachineNice,5993.0,-32.31,35.26,19.66,14.34,16.36,54.6,1.88,14.47,65.0,53.94,3.9,24.87,46.38,45.09,33.74,50.08,2,The Hyper-aggro Maniacs
10115,mental-atak,22850.0,-2.1,25.99,16.17,3.19,4.58,69.1,1.11,3.59,78.84,49.17,4.58,26.57,23.39,36.29,30.13,55.69,0,The Loose Passive Fish
10116,menyou2it,5662.0,2.23,37.57,24.78,16.09,7.84,72.07,2.32,1.92,79.32,50.23,10.48,32.88,35.31,29.07,24.63,55.07,0,The Loose Passive Fish
10117,meolam,7439.0,10.25,31.79,0.63,28.61,11.39,60.74,2.8,1.21,57.13,30.43,12.83,36.28,34.21,34.04,31.12,51.94,0,The Loose Passive Fish
10118,meoliron,11953.0,-29.34,50.21,33.26,13.84,4.49,57.64,0.79,10.65,55.29,35.25,2.62,44.99,34.1,47.6,37.82,45.95,2,The Hyper-aggro Maniacs
10120,MEPA62,2464.0,-23.98,37.42,18.27,3.54,15.87,72.06,1.42,21.9,68.42,62.5,1.7,40.25,58.15,43.23,33.18,42.34,5,The Moderate Aggressor
10122,MERCEREM,2380.0,-12.04,38.32,15.73,12.72,3.03,72.53,4.09,24.38,97.1,68.7,0.67,47.68,50.0,26.25,18.93,46.91,5,The Moderate Aggressor
10123,mercuryrain0,2591.0,-55.26,49.65,32.37,2.25,18.64,55.45,0.91,14.16,56.25,54.9,3.56,42.86,56.35,31.31,33.18,49.66,1,The Solid Regs
10124,Mercyful Flake,1771.0,-26.95,45.42,28.49,1.83,9.68,57.14,1.87,31.85,88.89,63.2,2.91,54.94,62.17,29.63,22.68,38.1,4,The Loose Aggro Fish
10125,MercyPleese,4113.0,14.48,23.38,10.88,17.97,8.33,63.76,2.22,1.12,70.43,47.52,1.09,39.28,25.94,37.88,29.2,51.44,0,The Loose Passive Fish
10126,merkenstein2442,2102.0,0.19,45.47,13.81,21.31,12.0,49.0,3.06,45.74,71.43,50.59,5.22,55.45,58.77,22.64,29.62,45.99,5,The Moderate Aggressor
10127,Merker789,2175.0,-2.23,29.77,11.5,13.98,9.09,70.53,1.51,0.92,71.97,59.79,2.06,29.5,25.81,35.71,28.75,52.13,0,The Loose Passive Fish
10129,MerlinTheWiz13,16948.0,20.25,25.36,11.51,11.03,4.41,72.12,1.46,0.4,70.76,43.15,2.95,36.94,34.38,35.22,25.8,55.26,0,The Loose Passive Fish
10131,Mesch_80,27054.0,-4.33,21.52,7.68,16.18,5.61,83.44,3.05,5.19,52.39,63.45,4.77,24.47,15.92,28.11,28.75,58.85,0,The Loose Passive Fish
10132,mesplay80,3343.0,-23.91,36.41,16.5,7.63,0.0,66.2,3.25,44.12,62.83,64.38,3.95,37.99,39.56,18.85,21.52,44.31,4,The Loose Aggro Fish
10133,MessyD_JG,3026.0,-38.28,52.7,31.2,31.57,3.64,39.29,2.59,25.98,60.73,65.41,1.62,43.03,36.21,31.71,31.32,47.42,4,The Loose Aggro Fish
10134,MessyHesse,1231.0,22.26,44.3,16.49,8.85,3.57,55.56,2.03,33.33,66.07,65.08,2.02,44.44,37.65,37.68,25.72,51.66,5,The Moderate Aggressor
10137,metalheadfred,1031.0,0.06,37.41,13.33,9.52,0.0,64.29,1.54,7.95,89.13,58.9,1.77,33.33,20.16,38.98,29.85,49.59,5,The Moderate Aggressor
10139,METALSTIX37,3892.0,-0.74,41.58,28.75,7.27,2.04,68.11,1.96,16.88,51.37,57.75,3.33,35.59,39.41,29.03,29.07,55.61,0,The Loose Passive Fish
10140,metasauce,18877.0,-1.19,34.53,35.34,14.7,7.27,62.0,1.37,6.53,61.51,39.66,2.79,37.45,35.5,37.35,29.21,51.16,0,The Loose Passive Fish
10141,MetaTate11,10096.0,-0.83,32.54,20.11,25.15,7.5,49.76,2.91,11.86,66.94,42.86,5.33,30.39,24.97,51.63,35.33,51.25,0,The Loose Passive Fish
10142,Metatron411,8765.0,4.54,40.2,25.4,18.07,8.97,45.98,2.04,6.51,76.14,55.86,1.56,34.11,35.39,29.87,26.62,49.54,5,The Moderate Aggressor
10143,Methodical30,1638.0,18.61,45.03,27.08,4.25,0.0,75.0,1.64,9.68,46.34,65.56,0.61,39.56,62.32,44.62,20.59,51.95,0,The Loose Passive Fish
10144,metman1959,90724.0,-0.27,38.34,22.37,7.01,6.07,58.38,2.72,34.04,60.52,71.9,1.27,44.83,34.5,29.68,25.83,52.56,5,The Moderate Aggressor
10145,MetroHipster,1151.0,-128.52,64.69,53.04,8.07,0.0,38.46,0.87,21.15,51.92,45.77,1.32,35.73,46.4,41.44,36.55,42.5,6,The Big-Betting Fish
10146,metsgiantsfan22,1146.0,-30.14,41.4,35.45,5.86,6.25,50.0,0.93,6.8,48.39,56.57,1.71,32.96,35.68,29.87,32.0,54.17,2,The Hyper-aggro Maniacs
10148,mfisher0918,9364.0,-8.23,50.14,37.34,6.86,4.47,80.67,2.42,37.64,71.33,50.97,4.79,45.17,41.1,33.98,27.66,45.24,5,The Moderate Aggressor
10149,mfisher501,3879.0,-26.07,35.81,25.49,5.06,7.69,85.49,2.24,20.05,62.0,60.7,5.71,26.0,26.61,31.03,31.05,54.02,2,The Hyper-aggro Maniacs
10150,mflynn200,11811.0,-11.63,23.26,18.5,3.0,4.26,76.4,0.53,0.83,55.94,48.77,4.38,17.55,23.25,40.77,36.16,61.41,0,The Loose Passive Fish
10152,MFoutlaw!60,13651.0,1.49,31.65,14.17,18.52,8.95,63.48,2.64,20.41,67.09,41.47,11.46,46.35,42.61,36.01,30.12,46.65,5,The Moderate Aggressor
10154,mfubio1,2828.0,-44.96,44.42,28.06,21.08,17.95,38.18,1.31,2.21,67.07,41.09,5.3,27.81,28.85,42.72,36.92,45.49,1,The Solid Regs
10155,mfv533,13120.0,-41.29,49.13,35.69,32.13,10.34,47.09,2.75,7.12,84.09,40.96,9.54,44.85,49.94,36.98,31.0,43.07,4,The Loose Aggro Fish
10156,MG11819,1197.0,-74.68,55.35,44.55,5.91,0.0,36.11,0.77,16.05,62.16,35.66,0.0,30.5,45.18,53.39,37.8,46.42,1,The Solid Regs
10157,MG662,2693.0,14.28,39.58,36.36,6.12,4.35,54.55,1.79,18.25,50.0,64.98,2.21,43.66,36.18,35.24,24.26,54.51,0,The Loose Passive Fish
10158,MG@BBU,8177.0,-15.86,29.61,25.3,9.45,8.7,78.97,1.27,4.56,44.69,47.35,3.58,29.31,28.66,26.48,27.93,52.72,0,The Loose Passive Fish
10160,MGChateauxIIRU,21396.0,9.82,24.6,6.95,18.93,7.76,69.26,1.52,2.58,51.25,36.48,8.86,37.24,37.12,37.4,30.87,52.89,0,The Loose Passive Fish
10161,mgg711,6458.0,-31.14,51.57,33.02,14.27,8.72,49.19,1.87,5.55,73.18,61.56,2.73,35.97,19.3,29.85,30.88,56.83,2,The Hyper-aggro Maniacs
10163,mgk107,1341.0,-97.56,48.47,34.12,10.24,11.11,35.71,1.49,29.52,86.75,40.86,2.54,54.83,56.46,36.0,35.16,38.52,6,The Big-Betting Fish
10166,MGolder,25783.0,-10.18,25.82,7.77,19.81,5.26,60.09,1.31,0.42,42.73,35.36,14.64,43.62,39.35,59.11,37.1,48.01,0,The Loose Passive Fish
10167,mgordon95,2944.0,-51.59,60.01,52.82,4.14,4.0,49.61,1.6,37.89,57.89,57.59,3.36,53.04,65.2,22.71,23.95,39.86,4,The Loose Aggro Fish
10168,mgorfti1,1023.0,-120.43,69.18,51.45,19.28,5.0,44.44,1.23,12.35,79.0,44.83,6.12,39.02,43.98,27.06,33.03,37.33,6,The Big-Betting Fish
10169,MGpop16,2669.0,-18.47,31.07,20.13,20.55,15.38,48.73,1.79,5.77,57.14,54.0,6.25,36.34,29.41,40.21,30.6,52.27,2,The Hyper-aggro Maniacs
10171,mgundy11,17208.0,-11.31,25.52,15.99,14.93,7.07,72.12,1.92,11.33,45.29,63.25,1.39,36.91,41.32,36.34,26.47,52.65,0,The Loose Passive Fish
10172,mhaber122,1329.0,-46.7,53.8,39.04,32.56,10.0,28.04,1.34,12.79,57.83,41.1,7.09,38.97,51.67,46.77,33.4,38.98,1,The Solid Regs
10173,mhag22,3161.0,-57.03,65.73,56.1,33.7,14.0,34.99,1.32,1.63,59.5,43.18,7.78,37.0,44.03,44.2,32.45,43.81,1,The Solid Regs
10174,mhaight1998,1305.0,-7.55,59.08,46.32,0.47,10.0,52.38,0.18,2.65,0.0,48.41,1.4,8.7,31.52,46.53,43.43,58.42,2,The Hyper-aggro Maniacs
10175,mhaines24,2677.0,-19.7,32.95,22.35,16.03,16.67,66.41,1.95,28.1,52.4,51.94,4.82,46.38,54.89,35.14,27.32,50.0,5,The Moderate Aggressor
10176,mhansen692574,5428.0,-16.5,36.22,20.69,14.6,8.7,62.76,1.71,16.37,58.68,37.31,7.57,41.34,42.4,30.18,29.22,47.68,2,The Hyper-aggro Maniacs
10178,mhast12,2138.0,-19.47,68.21,42.98,22.41,3.17,47.95,4.23,43.14,67.91,46.92,17.48,57.19,56.59,16.0,19.97,37.3,4,The Loose Aggro Fish
10179,mheineken82,1402.0,-56.42,26.15,19.38,16.68,50.0,70.73,4.7,5.66,69.16,49.09,10.61,47.26,39.33,28.0,29.47,43.62,1,The Solid Regs
10180,mhense,7202.0,-0.1,26.9,15.18,13.83,5.63,62.23,2.0,13.21,80.15,56.07,3.4,39.34,28.93,28.89,24.58,54.81,5,The Moderate Aggressor
10181,mhgsport3388,1383.0,15.97,60.32,42.61,13.23,8.51,44.26,1.29,3.68,87.27,55.24,0.56,48.0,47.76,37.07,28.56,45.38,5,The Moderate Aggressor
10184,mhoff1387,1598.0,-20.53,38.35,28.16,23.21,16.67,37.5,1.45,21.19,47.67,27.08,12.9,53.54,62.56,30.99,27.11,39.61,4,The Loose Aggro Fish
10187,miamimeech215,2483.0,-47.96,53.43,41.35,28.96,4.55,56.05,3.37,33.59,71.46,58.38,3.66,62.57,57.01,33.94,23.15,32.43,4,The Loose Aggro Fish
10188,Miandin,2085.0,11.37,31.41,20.42,12.68,0.0,72.03,1.41,1.37,50.38,57.03,3.43,37.93,30.98,22.39,24.16,56.95,0,The Loose Passive Fish
10190,Mic Kackslong,1204.0,-140.38,57.97,38.33,10.14,12.12,35.71,1.19,18.12,69.23,42.31,6.98,49.76,52.03,37.82,39.23,36.95,6,The Big-Betting Fish
10191,Micah1954,11621.0,-0.65,44.24,24.51,11.13,5.82,60.29,1.19,9.14,40.64,58.55,1.63,34.61,31.15,29.17,30.97,55.52,0,The Loose Passive Fish
10192,micalla,33306.0,-9.61,32.14,20.2,2.15,8.21,65.38,1.89,26.15,92.29,50.86,6.29,47.74,48.04,34.74,29.25,49.76,5,The Moderate Aggressor
10193,Micearius,1018.0,-75.9,42.56,13.4,22.9,0.0,72.58,2.28,6.25,70.69,70.49,2.8,31.88,21.21,36.84,25.59,44.33,1,The Solid Regs
10194,Michael J0rdan,81532.0,12.13,28.43,2.43,23.59,9.99,76.83,3.05,1.13,67.31,45.48,9.88,40.8,43.85,37.05,28.34,50.09,0,The Loose Passive Fish
10195,MICHAEL SCARN3,39755.0,3.04,22.07,4.81,17.4,9.0,69.99,2.23,0.95,61.58,47.99,9.02,34.74,29.99,23.19,26.63,53.25,0,The Loose Passive Fish
10198,michael6217,1834.0,-27.65,60.45,39.53,8.87,13.21,51.4,2.98,47.58,71.91,55.7,3.37,37.13,37.03,40.52,29.8,43.25,4,The Loose Aggro Fish
10199,michaelashby0,2841.0,-24.38,39.69,23.5,5.88,1.92,55.84,1.67,22.58,50.45,56.56,2.4,27.63,35.14,36.41,36.8,47.05,2,The Hyper-aggro Maniacs
10200,MichaelDukakis,10584.0,22.92,31.83,6.96,24.16,8.21,68.28,2.01,0.67,59.1,51.34,4.23,40.98,30.08,39.32,29.61,58.8,0,The Loose Passive Fish
10201,MichaelG1072,2847.0,-11.27,22.63,12.5,10.04,7.41,55.84,1.4,1.89,63.89,52.94,2.26,23.36,29.84,42.11,31.09,55.51,0,The Loose Passive Fish
10202,MichaelH7927,1833.0,-29.5,57.58,33.83,14.02,1.61,38.37,1.84,45.66,71.05,50.33,1.15,46.44,40.33,28.24,31.71,45.58,4,The Loose Aggro Fish
10203,MichaelJLang1,6440.0,-35.59,65.64,49.12,14.57,4.04,50.91,1.57,26.46,59.81,52.45,2.04,48.12,52.31,30.38,28.15,41.97,4,The Loose Aggro Fish
10204,michelebracy,1104.0,27.68,65.04,48.87,8.54,27.91,49.02,2.23,45.0,65.96,59.82,4.72,42.99,32.17,41.24,33.75,47.11,5,The Moderate Aggressor
10205,michelle0400,3418.0,-55.23,36.54,23.79,8.89,14.52,57.89,2.45,45.8,73.83,48.02,5.75,41.35,34.2,29.85,31.48,41.46,4,The Loose Aggro Fish
10206,Mick Bas,2336.0,-18.21,25.39,9.54,0.96,7.69,79.31,0.76,0.93,66.67,57.01,5.94,25.77,27.23,35.11,28.2,52.06,0,The Loose Passive Fish
10208,MickC23LAX,1732.0,-19.13,40.33,30.61,12.18,0.0,52.05,1.3,2.16,63.06,42.52,1.88,45.68,52.14,20.24,27.39,44.97,2,The Hyper-aggro Maniacs
10209,mickey1823,3159.0,-10.85,21.06,8.7,7.79,9.09,68.92,2.85,9.65,80.15,63.64,0.49,32.76,19.92,34.34,27.35,59.03,0,The Loose Passive Fish
10211,Mickey9189,13218.0,-30.94,65.91,52.38,7.59,7.84,55.13,1.06,9.35,75.33,44.74,5.48,35.41,39.03,41.47,35.0,47.89,2,The Hyper-aggro Maniacs
10212,mickeyb812,3467.0,-28.98,41.24,22.47,10.07,7.14,62.59,1.82,14.08,58.82,63.03,3.78,39.16,46.85,41.38,29.51,49.74,2,The Hyper-aggro Maniacs
10213,mickeymcker,56799.0,-56.22,23.65,8.63,11.28,47.86,58.72,2.79,5.52,77.08,20.05,24.03,40.58,41.91,23.87,35.8,46.92,1,The Solid Regs
10216,microgreenery,126016.0,-12.78,41.03,35.77,7.45,2.34,60.62,1.24,20.26,45.15,54.04,0.98,22.56,31.09,28.99,31.55,51.79,2,The Hyper-aggro Maniacs
10217,MicrostakeHero,3592.0,-9.63,33.74,23.72,13.65,6.9,52.81,0.82,0.35,54.81,47.97,2.24,33.81,24.2,38.15,32.27,54.29,0,The Loose Passive Fish
10218,Microtension,1294.0,-78.52,37.85,15.31,23.86,14.29,41.07,3.19,29.17,63.64,55.32,8.33,46.67,46.58,25.76,28.24,41.89,1,The Solid Regs
10221,Midairversion,17730.0,5.83,23.1,4.92,18.67,10.83,73.69,2.92,1.3,62.31,54.1,3.59,25.49,23.33,20.76,27.38,58.26,0,The Loose Passive Fish
10223,MiddleManMeech,1855.0,-82.88,62.15,31.98,26.98,6.78,46.26,3.21,44.08,66.41,60.14,6.38,55.6,46.34,32.26,29.48,38.91,6,The Big-Betting Fish
10224,Midknight343,7723.0,-50.36,67.23,52.45,3.78,5.34,51.45,0.53,7.3,66.23,39.12,3.16,32.79,42.05,26.44,34.74,41.98,1,The Solid Regs
10226,Midnight Taxman,33634.0,-17.37,36.88,21.61,17.32,12.66,51.82,1.18,2.54,62.39,39.15,4.48,33.7,30.81,40.44,35.71,50.46,2,The Hyper-aggro Maniacs
10227,Midnight17844,1082.0,9.02,50.05,31.67,12.39,10.34,40.35,2.21,19.47,77.63,48.96,13.46,49.81,37.87,52.27,36.85,50.97,5,The Moderate Aggressor
10230,miggity8,2595.0,-58.25,51.68,33.71,7.25,12.5,53.54,2.32,31.31,80.39,59.21,2.54,56.25,58.93,32.28,25.99,44.67,4,The Loose Aggro Fish
10231,miggybones,8643.0,2.08,34.27,24.08,15.98,14.29,65.4,0.81,0.85,54.34,45.76,2.29,36.65,46.37,34.2,28.99,50.74,0,The Loose Passive Fish
10232,Mighty Mittens,3233.0,-8.38,29.15,12.24,21.19,4.76,72.93,2.27,0.68,72.48,45.77,6.06,31.01,48.0,47.62,31.38,49.73,0,The Loose Passive Fish
10233,mightyjoshypoo1,1538.0,-18.13,41.78,24.7,14.22,7.69,71.79,1.61,2.52,82.08,44.59,5.76,41.35,39.88,27.27,26.43,52.03,5,The Moderate Aggressor
10234,MightyOatmeal,5795.0,-2.03,37.97,23.18,1.96,2.3,63.64,0.53,12.25,66.15,48.77,0.99,26.47,45.99,37.33,34.8,49.48,0,The Loose Passive Fish
10235,Migs3655,10287.0,-6.0,31.6,26.32,12.93,2.94,66.38,1.09,1.09,57.19,47.15,7.27,28.8,33.05,37.66,29.06,50.23,0,The Loose Passive Fish
10236,mika8081,1549.0,-122.18,69.48,55.56,10.9,12.5,45.28,1.3,12.37,47.19,39.02,11.11,48.29,58.26,38.06,31.93,44.44,6,The Big-Betting Fish
10237,mikaliksa,1246.0,-58.72,51.48,22.15,32.38,14.29,60.0,2.93,5.21,59.5,48.78,16.96,60.59,59.01,37.74,26.43,43.88,1,The Solid Regs
10238,mike clouser,1755.0,-96.7,65.28,42.64,18.34,20.93,52.48,2.02,26.15,67.44,52.89,3.09,38.55,34.52,33.93,35.31,41.87,6,The Big-Betting Fish
10239,Mike Clutchh,2088.0,-27.94,37.97,24.49,12.16,3.23,62.65,0.85,8.53,54.05,48.46,1.01,41.53,59.71,36.67,26.83,49.78,2,The Hyper-aggro Maniacs
10241,Mike Huntsz,108713.0,-32.0,49.43,39.45,26.34,6.1,45.45,2.0,34.86,62.98,44.56,2.16,43.36,26.95,20.15,28.92,43.65,4,The Loose Aggro Fish
10242,Mike001553,1588.0,-26.88,32.23,9.62,20.37,11.54,50.72,2.17,6.94,64.94,48.53,9.9,55.6,62.5,34.62,23.96,37.19,4,The Loose Aggro Fish
10243,mike0220,13753.0,-48.55,79.04,62.83,18.96,8.5,39.88,0.41,3.48,13.45,55.45,5.97,18.75,22.29,31.31,36.88,52.89,1,The Solid Regs
10244,mike1bell,51449.0,-8.8,26.05,16.31,2.46,4.65,89.16,1.96,13.9,75.73,48.38,1.76,55.25,63.58,39.58,28.21,50.75,5,The Moderate Aggressor
10245,Mike3152,114343.0,3.59,31.42,15.05,1.51,8.52,70.36,1.78,11.21,78.85,61.3,3.7,25.92,27.16,21.14,25.88,52.87,0,The Loose Passive Fish
10248,mike400ex1,1715.0,0.7,46.04,34.21,14.29,16.67,61.32,2.42,27.78,44.85,59.42,7.46,38.76,39.22,32.94,27.71,46.39,5,The Moderate Aggressor
