,player,hands,bb_100,vpip,cc_2bet_pf,pfr,3bet_f,fold_to_3bet,flop_af,donk_f,cbet_f,fold_to_f_cbet,xr_flop,bet_t,bet_r,call_r_bet,wtsd,wsd,cluster,cluster_name
4669,DrJones138PA,35066.0,-16.87,34.24,24.21,8.54,7.47,73.56,0.84,4.13,24.61,47.88,3.66,17.96,23.75,39.07,39.13,57.85,2,The Hyper-aggro Maniacs
4671,DrJosephB55@,40529.0,-8.95,34.31,24.17,2.61,2.49,67.61,0.88,9.95,76.8,56.63,0.53,31.74,28.07,30.02,27.86,58.44,5,The Moderate Aggressor
4672,DRK5050,1020.0,26.37,42.77,28.45,5.05,6.67,74.29,1.72,17.72,88.0,60.81,0.0,38.36,31.06,24.0,28.89,57.03,5,The Moderate Aggressor
4673,DrKMoney,1776.0,-54.79,38.29,26.29,4.48,0.0,63.29,1.21,17.55,51.11,50.31,1.2,39.89,34.92,31.48,31.24,43.67,1,The Solid Regs
4674,Drluv49er,1280.0,-9.9,62.11,39.68,17.43,20.0,55.56,0.83,6.29,26.8,55.04,5.49,32.65,43.67,31.78,30.69,51.17,2,The Hyper-aggro Maniacs
4677,dro86kid(HEEBS),2956.0,-48.5,35.49,26.22,10.76,7.41,54.17,0.99,5.88,60.13,45.58,5.8,28.6,40.89,30.92,38.77,46.74,1,The Solid Regs
4678,drobbbi,1517.0,-36.59,46.75,25.88,23.68,28.13,38.57,2.02,11.02,71.94,52.43,0.0,48.83,59.72,20.93,22.62,40.13,4,The Loose Aggro Fish
4679,Droman027,2153.0,-40.89,60.78,43.28,21.08,15.0,43.17,1.68,10.42,57.33,54.1,4.49,38.28,36.63,51.02,31.64,39.44,1,The Solid Regs
4680,droopisbest,1631.0,-42.5,33.04,17.69,18.01,12.5,58.49,1.77,5.63,55.0,58.57,4.85,35.37,32.18,32.2,32.85,45.0,2,The Hyper-aggro Maniacs
4681,DROPCATCH,2824.0,-14.44,41.68,15.09,1.89,0.0,81.25,1.13,13.9,86.96,68.09,0.66,26.96,26.19,46.53,31.69,66.39,5,The Moderate Aggressor
4684,droptine86,2172.0,-175.44,81.17,66.29,20.01,2.11,23.33,1.01,18.12,77.03,20.17,1.78,48.1,62.73,53.24,41.04,33.33,3,The Tight Passive
4687,DrPhill26,114338.0,-2.65,28.55,19.41,15.61,10.61,64.77,1.69,3.3,69.76,41.86,2.78,31.27,35.81,32.69,31.25,54.82,0,The Loose Passive Fish
4691,DRS4200,65627.0,-7.5,38.39,25.32,13.0,5.54,63.74,2.39,13.14,81.02,58.53,3.74,49.4,39.78,24.3,22.74,46.99,5,The Moderate Aggressor
4692,DrScott2K12,7925.0,-0.53,30.31,20.11,11.99,7.2,49.83,3.34,23.53,70.29,61.13,10.32,66.74,61.02,23.83,23.28,48.43,5,The Moderate Aggressor
