,player,hands,bb_100,vpip,pfr,3bet_f,fold_to_3bet,flop_af,donk_f,cbet_f,fold_to_f_cbet,xr_flop,bet_t,bet_r,call_r_bet,wtsd,wsd,cluster,cluster_name
5686,fullyrealized,72592.0,-31.53,45.47,15.25,19.56,59.63,0.93,4.11,39.83,40.26,6.43,18.33,16.96,37.4,40.2,55.18,2,Semi-Loose Neutral Players
5687,fulton0427,4370.0,-22.84,30.82,9.79,6.45,78.89,2.86,23.26,62.84,64.02,4.8,37.68,28.97,45.69,29.89,43.95,2,Semi-Loose Neutral Players
5688,fun4everyone,2123.0,-28.77,31.4,27.0,8.33,71.17,3.17,2.86,60.71,42.62,11.84,43.95,47.58,61.11,29.73,44.63,2,Semi-Loose Neutral Players
5689,Funchew,11721.0,-13.25,44.87,4.85,8.27,70.88,1.13,10.71,56.97,68.35,4.01,26.61,31.01,16.58,27.48,52.65,2,Semi-Loose Neutral Players
5690,FunctionofPhil,28595.0,9.32,27.19,17.72,6.27,59.47,2.17,0.58,80.25,52.13,2.52,37.3,26.04,27.19,28.08,56.12,0,Balanced Semi-Loose Players
5693,Funk1019,1084.0,-41.92,32.45,13.42,0.0,63.64,1.11,1.27,53.73,55.41,2.41,20.13,12.15,32.0,29.74,57.14,2,Semi-Loose Neutral Players
5695,FunkyChicken40,5007.0,-39.22,49.37,9.47,5.66,73.54,1.55,17.71,67.45,46.52,3.18,36.24,36.82,46.64,33.63,44.35,2,Semi-Loose Neutral Players
5696,FunkyMcCain,6072.0,-12.81,29.19,3.95,13.33,73.72,2.8,34.96,81.4,61.78,3.92,34.4,39.0,31.51,28.51,50.98,5,Tight Passive Rocks
5697,Funnmike,1950.0,-27.49,35.11,21.2,25.0,53.9,2.25,2.5,76.97,37.31,17.04,43.73,34.1,39.68,29.01,46.0,2,Semi-Loose Neutral Players
5699,funridehd,1210.0,-167.41,61.49,14.66,4.44,39.29,1.64,30.32,83.33,44.17,2.17,53.07,52.03,46.81,40.38,37.62,3,Hyper-LAG Maniacs
5700,funtogamble99,10306.0,-27.51,45.8,13.6,7.69,57.11,0.55,0.91,29.45,53.23,4.1,25.91,23.12,20.59,30.3,53.96,2,Semi-Loose Neutral Players
5701,Fupie,4323.0,23.19,41.11,31.04,12.96,41.9,2.6,11.86,59.76,47.95,5.86,38.21,36.22,38.85,32.08,47.29,0,Balanced Semi-Loose Players
5703,Fuuzey,2143.0,-61.03,29.38,1.37,0.0,57.89,0.47,11.19,44.44,54.33,0.0,17.16,41.16,38.98,34.17,50.77,1,Loose Passive Callers
5704,fuzzfrompa48,1102.0,-17.68,44.37,8.64,0.0,67.5,1.64,31.25,61.36,47.62,2.22,23.94,24.62,43.75,43.22,56.04,2,Semi-Loose Neutral Players
5706,FuzzyLogic17,2640.0,-11.83,20.41,7.88,0.0,76.92,0.85,0.85,45.12,57.73,3.45,25.5,22.22,22.41,31.44,56.94,0,Balanced Semi-Loose Players
5707,fuzzymason,2686.0,-33.99,48.97,15.43,4.08,54.39,2.8,21.28,72.73,63.39,5.67,46.55,70.33,19.51,22.7,37.4,4,Overly Aggressive Semi-Loose Players
5708,fv00z,1170.0,-21.69,53.76,21.52,0.0,47.17,1.18,5.47,72.73,47.71,2.63,30.96,42.29,25.0,33.58,42.13,2,Semi-Loose Neutral Players
5709,FV19127,2322.0,-32.74,40.92,3.86,4.76,72.37,2.45,25.41,72.92,76.3,0.53,42.36,46.62,47.17,27.55,46.76,4,Overly Aggressive Semi-Loose Players
5710,fvrbly,1949.0,-17.68,32.29,12.6,0.0,74.44,1.52,3.97,69.91,45.54,1.3,48.56,38.51,32.31,22.55,36.64,5,Tight Passive Rocks
5711,fwaagraa,1028.0,-27.23,48.33,13.79,0.0,51.52,2.22,32.53,77.11,71.01,1.94,49.62,50.0,42.11,31.16,40.12,4,Overly Aggressive Semi-Loose Players
5712,fwb95,1940.0,-24.1,38.38,17.41,5.0,55.06,1.97,6.71,76.88,52.52,8.0,37.77,31.25,51.14,33.84,44.86,2,Semi-Loose Neutral Players
5713,FWTW2020,32499.0,-1.49,35.63,13.7,9.09,53.84,3.45,20.18,83.67,61.04,0.65,42.4,30.09,32.17,25.16,47.36,5,Tight Passive Rocks
5714,FYIWDWYTM,231346.0,6.21,24.73,20.98,5.44,75.28,2.91,0.34,62.41,47.43,13.31,36.3,44.29,35.34,28.12,53.48,0,Balanced Semi-Loose Players
5715,fykings,1623.0,-25.39,47.81,7.89,4.88,60.0,1.35,21.32,72.13,51.02,1.67,38.52,38.52,23.15,30.82,48.16,2,Semi-Loose Neutral Players
5716,FyouCkayYoweU,1538.0,-26.74,37.2,10.95,16.67,58.62,1.06,1.28,62.38,52.94,3.45,28.28,35.94,36.05,29.53,47.51,2,Semi-Loose Neutral Players
5717,G*Mom111,11587.0,-9.74,48.24,9.25,8.15,50.63,1.43,15.92,72.25,47.81,1.49,29.57,21.07,30.94,32.53,50.55,2,Semi-Loose Neutral Players
5718,G0AT420,9085.0,-16.73,41.29,6.64,0.62,74.4,2.29,31.94,74.62,48.95,3.69,34.48,26.61,39.25,30.42,52.47,5,Tight Passive Rocks
5719,G1RTHBR00KS,2904.0,13.4,45.08,22.76,6.25,46.1,1.14,1.16,62.07,46.85,1.9,36.32,44.78,25.0,25.84,50.0,0,Balanced Semi-Loose Players
5720,g30fF3273,18964.0,-47.22,78.82,2.99,1.05,68.08,0.3,1.24,58.13,43.62,1.26,26.89,21.58,24.29,32.5,45.83,1,Loose Passive Callers
5722,g37heem,1482.0,-49.08,36.38,21.24,4.76,34.57,1.37,23.85,42.94,22.5,11.93,34.89,46.98,58.97,41.45,43.05,1,Loose Passive Callers
5724,gabbsgabbs107,50454.0,-23.26,31.47,10.64,7.43,61.58,1.01,7.48,35.84,41.59,7.1,46.18,34.68,28.13,33.31,49.4,2,Semi-Loose Neutral Players
5725,GabeBeenBoolin,1126.0,-45.2,48.33,13.27,18.18,44.07,3.7,36.54,70.33,49.33,11.76,47.74,49.72,41.67,31.01,39.89,4,Overly Aggressive Semi-Loose Players
5726,GabeLincoln0,1253.0,-89.36,83.28,26.97,6.67,33.62,2.28,40.08,78.45,39.8,4.83,54.88,41.74,37.78,36.39,41.93,6,Loose Aggro Fish
5728,Gabuser,4937.0,-13.02,26.77,9.25,10.64,67.46,1.5,8.93,48.93,50.85,3.98,34.72,40.76,32.91,32.22,53.38,0,Balanced Semi-Loose Players
5730,Gaets1747,6035.0,-55.13,55.91,15.66,8.65,54.84,3.16,53.74,73.32,46.98,6.2,65.83,46.36,28.07,27.29,38.65,4,Overly Aggressive Semi-Loose Players
5733,Gagu05,4046.0,-67.97,56.22,8.73,3.92,46.26,1.04,10.42,78.13,40.63,1.31,36.67,30.13,35.03,37.13,43.19,1,Loose Passive Callers
5734,Gainzgarrr,14096.0,-39.54,61.38,9.52,5.93,60.77,1.22,10.93,66.9,48.57,1.85,30.5,27.61,35.2,33.9,47.75,2,Semi-Loose Neutral Players
5735,GainzVille215,1206.0,-59.1,42.0,0.17,3.7,71.43,1.54,34.78,100.0,69.51,3.26,44.26,51.06,25.0,27.57,44.0,4,Overly Aggressive Semi-Loose Players
5737,GakSmack,11606.0,-7.0,33.57,20.02,7.02,64.79,1.74,3.14,67.11,44.41,6.42,40.96,31.2,32.4,28.73,51.28,0,Balanced Semi-Loose Players
5740,gambit97882,2036.0,-57.37,43.26,15.51,11.76,55.75,1.66,25.15,64.15,50.68,6.47,41.75,48.47,44.66,39.35,46.23,1,Loose Passive Callers
5741,Gambitjr1,63900.0,-1.36,14.95,3.43,13.25,81.61,1.7,10.55,61.87,48.51,6.99,30.41,32.44,24.7,24.84,54.36,0,Balanced Semi-Loose Players
5742,Gamblaire,1452.0,-47.78,40.27,16.94,14.29,34.31,1.33,8.05,57.02,43.24,4.65,32.17,35.63,40.3,30.66,45.24,1,Loose Passive Callers
5744,Gambler6800697,12626.0,-6.2,31.48,3.16,1.13,64.03,1.1,13.09,61.92,56.26,0.28,37.14,36.15,36.25,31.99,50.86,0,Balanced Semi-Loose Players
5745,gamblerdave17,3387.0,-9.35,44.81,8.95,12.5,48.03,1.52,23.38,73.58,49.46,2.86,38.53,45.6,41.67,36.46,48.46,5,Tight Passive Rocks
5746,gamblindan17,4636.0,-5.71,48.4,19.53,3.77,69.65,2.05,8.75,65.01,51.62,3.7,50.22,25.73,25.11,22.69,50.49,5,Tight Passive Rocks
5747,GamblinWillie,8050.0,-2.86,21.02,14.91,4.35,74.44,3.81,17.11,68.94,52.33,3.1,25.52,20.17,30.69,29.27,56.82,0,Balanced Semi-Loose Players
5749,Gametime2417,1341.0,-68.73,73.46,13.0,8.33,52.87,1.1,18.63,79.12,41.63,1.16,33.52,37.21,27.82,35.45,45.6,1,Loose Passive Callers
5750,gamma199scott,7783.0,-4.92,49.18,8.61,3.57,54.42,2.64,25.26,83.73,64.24,0.68,44.43,42.92,33.27,25.63,48.78,5,Tight Passive Rocks
5751,Ganga Man 00,2551.0,-59.65,59.56,17.2,9.18,36.84,2.36,43.16,60.15,48.1,5.49,61.61,68.45,25.0,25.49,32.48,4,Overly Aggressive Semi-Loose Players
5752,gank881,4861.0,-51.81,38.69,18.47,16.0,60.14,1.87,15.27,59.35,29.23,15.85,38.46,41.29,44.16,35.69,41.72,1,Loose Passive Callers
5753,ganz9875,13846.0,-9.61,29.27,13.67,15.43,45.83,1.17,5.85,59.7,43.46,4.6,37.45,30.72,36.06,32.87,44.53,2,Semi-Loose Neutral Players
5754,gaoy69,1572.0,0.21,40.56,24.41,7.41,57.14,1.84,8.5,68.79,41.79,9.63,35.63,38.46,47.14,31.26,44.72,0,Balanced Semi-Loose Players
5755,gapetro,1534.0,-27.65,34.77,6.18,17.65,74.29,3.45,5.26,64.15,75.0,1.43,42.8,23.7,30.88,23.27,50.35,2,Semi-Loose Neutral Players
5756,garbagebob,15709.0,-20.48,41.39,14.22,7.11,55.94,1.84,10.02,57.39,48.16,5.86,35.88,33.2,35.51,28.7,49.37,2,Semi-Loose Neutral Players
5758,garcin_in_life,4678.0,-66.27,50.79,4.88,6.51,48.95,1.47,44.97,80.34,43.44,4.28,56.47,41.65,32.16,32.84,43.91,4,Overly Aggressive Semi-Loose Players
5759,Garcon de Piss,1507.0,-71.56,57.29,9.2,9.68,68.97,1.72,12.17,53.75,51.98,2.98,44.83,46.31,31.31,24.58,38.22,1,Loose Passive Callers
5760,GardnerBarnes,13649.0,4.45,29.5,12.99,1.89,73.6,1.89,5.74,84.14,52.7,0.2,37.89,18.14,41.57,28.55,53.58,0,Balanced Semi-Loose Players
5762,Garlic180,19970.0,-7.1,36.65,23.91,8.52,65.43,3.59,22.35,49.03,63.6,5.62,42.32,47.04,28.15,25.15,49.08,5,Tight Passive Rocks
5766,Garygo613,1248.0,-13.81,60.08,14.55,1.67,41.07,1.72,52.73,83.02,34.52,10.22,59.32,36.0,41.79,42.34,49.71,4,Overly Aggressive Semi-Loose Players
