,player,hands,bb_100,vpip,pfr,3bet_f,fold_to_3bet,flop_af,donk_f,cbet_f,fold_to_f_cbet,xr_flop,bet_t,bet_r,call_r_bet,wtsd,wsd,cluster,cluster_name
5767,garyw3215,16891.0,-10.57,38.47,7.9,4.6,61.42,1.63,5.67,77.73,47.57,3.28,35.1,23.9,30.72,28.42,54.76,0,Balanced Semi-Loose Players
5768,gascan76,3070.0,-74.46,54.24,10.9,7.84,46.39,1.17,33.14,30.15,58.14,0.58,20.72,40.88,27.61,32.12,50.78,1,Loose Passive Callers
5773,Gatheo467,2062.0,-27.34,46.71,12.84,8.33,60.8,2.3,31.83,80.92,51.31,0.59,54.97,64.4,31.91,26.9,45.22,4,Overly Aggressive Semi-Loose Players
5775,Gatorball1,1741.0,-6.8,28.55,6.03,0.0,77.94,2.13,5.66,60.38,58.62,5.26,39.34,47.24,3.45,18.08,55.84,5,Tight Passive Rocks
5776,Gattis97,8090.0,2.85,28.07,16.63,13.46,68.17,1.48,0.57,67.06,36.31,7.13,38.91,32.13,32.13,27.9,52.07,0,Balanced Semi-Loose Players
5779,gbrew3,1934.0,-57.24,52.28,12.08,9.52,58.33,2.92,35.0,76.38,59.72,5.75,63.75,64.9,28.0,25.48,37.2,4,Overly Aggressive Semi-Loose Players
5780,gbrielgberg,1957.0,-25.61,45.33,9.13,7.69,75.42,1.29,2.13,60.87,56.42,1.98,34.72,40.0,33.94,26.19,49.07,2,Semi-Loose Neutral Players
5782,GBTWINS,5909.0,-23.1,34.75,3.87,13.64,72.78,1.44,25.48,55.04,63.2,2.16,30.01,28.34,38.68,34.69,45.43,2,Semi-Loose Neutral Players
5783,Gck1!!97,2240.0,-105.68,55.46,2.01,0.0,42.34,0.85,18.18,69.23,51.07,1.72,34.75,36.44,26.67,32.55,48.07,6,Loose Aggro Fish
5784,gck4life123,3574.0,-14.94,51.95,17.36,6.45,56.41,1.84,21.84,52.23,57.81,4.89,46.72,59.33,29.17,24.81,42.23,4,Overly Aggressive Semi-Loose Players
5785,gcocoa69,4077.0,-16.42,29.82,14.75,12.12,45.5,1.39,34.72,37.2,48.92,3.15,34.11,42.21,29.02,30.47,48.42,2,Semi-Loose Neutral Players
5786,gcone593,1948.0,-10.37,21.46,16.45,16.67,83.33,1.82,3.7,38.97,51.06,5.97,29.33,33.7,17.14,23.81,54.29,0,Balanced Semi-Loose Players
5787,gcourtkid422,1357.0,-130.66,87.52,17.79,5.08,36.27,0.88,17.76,58.09,42.15,1.41,29.95,37.45,39.8,43.65,41.62,6,Loose Aggro Fish
5788,gd2001,3202.0,-29.1,40.37,7.4,8.11,75.64,1.62,21.81,75.53,53.88,3.3,35.46,22.22,27.45,32.7,50.0,2,Semi-Loose Neutral Players
